Date,P_StartTime_1,P_EndTime_1,P_SL_1,P_UTSL_1,P_OM_1,Future_1,CE.Strike_1,CE.Price_1,CE.SL.Time_1,CE.PNL_1,PE.Strike_1,PE.Price_1,PE.SL.Time_1,PE.PNL_1,UT.Strike_1,UT.Price_1,UT.SL.Time_1,BPL_1,TT.PL.AT.SL_1,UT.PL.AT.SL_1,UT.PNL_1,Total.PNL_1,P_StartTime_2,P_EndTime_2,P_SL_2,P_UTSL_2,P_OM_2,Future_2,CE.Strike_2,CE.Price_2,CE.SL.Time_2,CE.PNL_2,PE.Strike_2,PE.Price_2,PE.SL.Time_2,PE.PNL_2,UT.Strike_2,UT.Price_2,UT.SL.Time_2,BPL_2,TT.PL.AT.SL_2,UT.PL.AT.SL_2,UT.PNL_2,Total.PNL_2,Total.PNL
2018-01-01,09:16:00,13:00:00,0,0,1,25569.95,25200CE,327.35,,-21.74,25800PE,307.45,,14.70687500000001,,,,-7.034999999999968,0,0,0,-7.03,13:00:00,15:25:00,30.0,50.0,0.5,25581.1,25500CE,135.25,,70.21,25600PE,157.0,14:58:00,-49.06,25500CE,100.0,,0.0,-49.06249999999999,33.559375,36.65,21.15,14.12
2018-01-02,09:16:00,13:00:00,0,0,1,25469.2,25100CE,321.4,,71.88,25700PE,303.4,,-94.74250000000005,,,,-22.86000000000007,0,0,0,-22.86,13:00:00,15:25:00,30.0,50.0,0.5,25360.0,25200CE,166.65,,-1.23,25400PE,161.0,14:35:00,-50.31,25200CE,131.0,15:04:00,0.0,-50.312500000000014,33.566875,-65.5,-82.25,-105.11
2018-01-03,09:16:00,13:00:00,0,0,1,25460.95,25100CE,301.15,,15.39,25700PE,296.35,,-21.404374999999987,,,,-6.01875000000001,0,0,0,-6.02,13:00:00,15:25:00,30.0,50.0,0.5,25435.05,25300CE,119.0,,46.11,25500PE,150.0,14:45:00,-46.88,25300CE,78.0,,0.0,-46.875,39.5125,6.6,-0.76,-6.78
2018-01-04,09:16:00,13:00:00,0,0,1,25406.3,25000CE,337.3,,-56.82,25700PE,342.85,,55.61437500000003,,,,-1.2018749999999372,0,0,0,-1.2,13:00:00,15:25:00,30.0,50.0,0.5,25460.0,25300CE,104.45,13:37:00,-32.64,25600PE,183.65,,51.9,25600PE,153.45,,0.0,-32.64,27.904375000000016,24.0,19.264375000000015,18.06
2018-01-05,09:16:00,13:00:00,0,0,1,25555.0,25300CE,258.65,,-15.58,25700PE,241.75,,11.078124999999995,,,,-4.505000000000027,0,0,0,-4.51,13:00:00,15:25:00,30.0,50.0,0.5,25561.6,25500CE,145.0,15:25:00,-45.31,25600PE,165.45,,49.48,25600PE,113.9,,0.0,-45.31,49.48187499999998,0.0,4.171874999999979,-0.34
2018-01-08,09:16:00,13:00:00,0,0,1,25729.25,25400CE,317.65,,-27.77,26000PE,319.75,,24.003125,,,,-3.767500000000009,0,0,0,-3.77,13:00:00,15:25:00,30.0,50.0,0.5,25756.05,25700CE,126.3,,32.17,25800PE,152.0,,-13.599999999999989,,,,18.571250000000013,0.0,0.0,0.0,18.57,14.8
2018-01-09,09:16:00,13:00:00,0,0,1,25722.5,25400CE,294.0,,28.72,26000PE,312.55,,-36.35687499999999,,,,-7.6318750000000115,0,0,0,-7.63,13:00:00,15:25:00,30.0,50.0,0.5,25673.0,25500CE,180.75,,-23.51,25800PE,178.15,,22.623124999999995,,,,-0.886250000000004,0.0,0.0,0.0,-0.89,-8.52
2018-01-10,09:16:00,13:00:00,0,0,1,25670.8,25400CE,256.9,,54.89,25900PE,251.65,,-49.645624999999974,,,,5.243124999999992,0,0,0,5.24,13:00:00,15:25:00,30.0,50.0,0.5,25617.3,25400CE,198.8,,-11.68,25700PE,129.0,,18.087500000000002,,,,6.402500000000014,0.0,0.0,0.0,6.4,11.64
2018-01-11,09:16:00,13:00:00,0,0,1,25580.0,25200CE,357.15,,-98.46,25900PE,325.7,,93.12874999999998,,,,-5.335625000000022,0,0,0,-5.34,13:00:00,15:25:00,30.0,50.0,0.5,25680.05,25500CE,151.05,,4.36,25800PE,129.0,14:50:00,-40.31,25500CE,112.9,,0.0,-40.312499999999986,36.261875,-31.9,-35.95,-41.29
2018-01-12,09:16:00,13:00:00,0,0,1,25726.95,25400CE,331.0,,50.41,26000PE,302.8,,-75.13499999999996,,,,-24.722499999999954,0,0,0,-24.72,13:00:00,15:25:00,30.0,50.0,0.5,25647.55,25600CE,142.85,14:37:00,-44.64,25700PE,161.0,,52.49,25700PE,107.0,,0.0,-44.64,51.9875,0.5,7.847499999999997,-16.87
2018-01-15,09:16:00,13:00:00,0,0,1,25854.15,25600CE,272.35,,-112.95,26100PE,275.15,,81.71062499999998,,,,-31.243749999999977,0,0,0,-31.24,13:00:00,15:25:00,30.0,50.0,0.5,25973.0,25900CE,152.5,14:57:00,-47.66,26000PE,133.45,,36.43,26000PE,92.2,,0.0,-47.66,39.58187499999998,-3.15,-11.228125000000006,-42.47
2018-01-16,09:16:00,13:00:00,0,0,1,26044.0,25800CE,259.1,,31.51,26300PE,289.95,,-15.274375000000035,,,,16.236874999999994,0,0,0,16.24,13:00:00,15:25:00,30.0,50.0,0.5,26005.35,25900CE,147.7,,14.65,26100PE,154.0,,-10.425,,,,4.22875,0.0,0.0,0.0,4.23,20.47
2018-01-17,09:16:00,13:00:00,0,0,1,25958.45,25600CE,340.4,,-103.46,26300PE,355.45,,108.006875,,,,4.551874999999953,0,0,0,4.55,13:00:00,15:25:00,30.0,50.0,0.5,26067.05,25900CE,168.4,14:11:00,-52.63,26200PE,160.8,,131.09,26200PE,114.45,,0.0,-52.63,44.34000000000001,86.75,78.46000000000001,83.01
2018-01-18,09:21:00,13:00:00,0,0,1,26640.0,26300CE,325.0,,-124.66,27000PE,346.65,,108.01687499999997,,,,-16.645625000000052,0,0,0,-16.65,13:00:00,15:25:00,30.0,50.0,0.5,26702.0,26600CE,148.0,,146.05,26900PE,141.85,14:03:00,-44.33,26600CE,105.6,,0.0,-44.32812500000001,40.550000000000004,105.5,101.72,85.07
2018-01-19,09:16:00,13:00:00,0,0,1,26491.75,26300CE,275.75,,-115.7,26700PE,278.0,,73.525,,,,-42.171875,0,0,0,-42.17,13:00:00,15:25:00,30.0,50.0,0.5,26630.0,26700CE,134.95,13:52:00,-42.17,26600PE,150.5,,76.27,26600PE,110.05,,0.0,-42.17,38.56875,37.7,34.09875,-8.07
2018-01-22,09:16:00,13:00:00,0,0,1,26864.0,26700CE,265.8,,-43.87,27000PE,246.0,,8.175,,,,-35.697500000000005,0,0,0,-35.7,13:00:00,15:25:00,30.0,50.0,0.5,26906.1,27000CE,151.0,14:00:00,-47.19,26800PE,135.45,,33.76,26800PE,98.35,,0.0,-47.19,35.40687499999999,-1.65,-13.433125000000011,-49.13
2018-01-23,09:16:00,13:00:00,0,0,1,27062.4,26900CE,270.0,,-79.77,27200PE,250.95,,93.91312499999998,,,,14.138125000000002,0,0,0,14.14,13:00:00,15:25:00,30.0,50.0,0.5,27187.8,27200CE,146.0,14:05:00,-45.63,27200PE,153.9,,72.73,27200PE,112.3,,0.0,-45.63,39.67625000000001,33.05,27.096250000000005,41.24
2018-01-24,09:16:00,13:00:00,0,0,1,27339.95,27100CE,300.0,,5.15,27600PE,299.05,,-10.488125,,,,-5.338125000000023,0,0,0,-5.34,13:00:00,15:25:00,30.0,50.0,0.5,27337.1,27300CE,164.0,13:15:00,-51.25,27400PE,171.65,,46.0,27400PE,119.3,,0.0,-51.25,50.204375000000006,-4.2,-5.245624999999997,-10.59
2018-01-25,09:16:00,13:00:00,0,0,1,27336.45,27100CE,274.45,,78.37,27600PE,268.0,,-42.85,,,,35.519374999999975,0,0,0,35.52,13:00:00,15:25:00,30.0,50.0,0.5,27293.1,27100CE,192.65,13:55:00,-60.2,27400PE,135.25,13:10:00,-42.27,27100CE,161.1,13:55:00,0.0,-42.27,29.141875000000013,-80.55,-93.67812499999997,-58.16
2018-01-29,09:16:00,13:00:00,0,0,1,27475.1,27500CE,284.0,,-82.3,27400PE,293.25,,32.084375,,,,-50.215624999999996,0,0,0,-50.22,13:00:00,15:25:00,30.0,50.0,0.5,27597.5,28100CE,138.8,,35.82,27100PE,144.5,,-26.256249999999987,,,,9.558750000000025,0.0,0.0,0.0,9.56,-40.66
2018-01-30,09:16:00,13:00:00,0,0,1,27386.95,27400CE,283.0,,23.76,27300PE,277.5,,14.431249999999977,,,,38.19374999999999,0,0,0,38.19,13:00:00,15:25:00,30.0,50.0,0.5,27381.1,27700CE,139.25,,40.81,27000PE,143.4,,25.657500000000002,,,,66.466875,0.0,0.0,0.0,66.47,104.66
2018-01-31,09:16:00,13:00:00,0,0,1,27350.8,27200CE,299.0,,60.26,27400PE,279.25,,-42.990625,,,,17.271875,0,0,0,17.27,13:00:00,15:25:00,30.0,50.0,0.5,27270.0,27400CE,150.3,14:39:00,-46.97,27000PE,132.0,,40.75,27000PE,90.0,,0.0,-46.97,40.35,0.4,-6.219999999999992,11.05
2018-02-01,09:16:00,13:00:00,0,0,1,27515.0,27300CE,308.0,,161.1,27700PE,329.6,,-25.669999999999956,,,,135.43000000000004,0,0,0,135.43,13:00:00,15:25:00,30.0,50.0,0.5,27403.85,27300CE,143.05,13:09:00,-44.7,27400PE,119.2,15:08:00,-37.25,27400PE,75.0,14:29:00,0.0,-44.7,42.71,-37.5,-39.49,95.94
2018-02-02,09:16:00,13:00:00,0,0,1,26948.8,26800CE,287.85,,64.25,27000PE,269.95,,-108.97437500000002,,,,-44.7225,0,0,0,-44.72,13:00:00,15:25:00,30.0,50.0,0.5,26792.05,27000CE,130.95,,83.41,26400PE,139.0,14:35:00,-43.44,27000CE,91.0,,0.0,-43.437499999999986,38.313124999999985,45.1,39.98,-4.74
2018-02-05,09:16:00,13:00:00,0,0,1,26033.95,26000CE,260.0,,-108.35,25900PE,247.6,,122.455,,,,14.104999999999976,0,0,0,14.1,13:00:00,15:25:00,30.0,50.0,0.5,26265.65,26400CE,138.1,,12.37,26000PE,148.35,13:35:00,-46.36,26400CE,97.0,,0.0,-46.35937499999999,39.373749999999994,-27.0,-33.99,-19.89
2018-02-06,09:16:00,13:00:00,0,0,1,25289.95,25300CE,287.75,,-14.5,25500PE,280.0,,-98.5,,,,-112.99687499999997,0,0,0,-113.0,13:00:00,15:25:00,30.0,50.0,0.5,25368.9,25600CE,150.25,13:48:00,-46.95,24800PE,143.9,,101.25,24800PE,91.2,,0.0,-46.95,50.901250000000005,50.35,54.30125,-58.7
2018-02-07,09:16:00,13:00:00,0,0,1,25978.25,25800CE,305.9,,126.68,26100PE,302.5,,-116.73124999999999,,,,9.944999999999979,0,0,0,9.94,13:00:00,15:25:00,30.0,50.0,0.5,25775.6,25900CE,138.0,,88.88,25500PE,123.8,13:44:00,-38.69,25900CE,113.85,,0.0,-38.6875,22.425000000000004,66.45,50.19,60.13
2018-02-08,09:16:00,13:00:00,0,0,1,25639.9,25400CE,255.0,,-298.14,25900PE,302.05,,249.974375,,,,-48.163125000000036,0,0,0,-48.16,13:00:00,15:25:00,30.0,50.0,0.5,25985.0,25800CE,174.0,13:22:00,-54.37,26100PE,163.45,14:26:00,-51.08,26100PE,101.3,14:19:00,0.0,-54.37,60.10687499999999,-50.65,-44.913125,-93.07
2018-02-09,09:16:00,13:00:00,0,0,1,25521.9,25600CE,296.65,,-19.26,25300PE,291.7,,59.90374999999998,,,,40.64562499999997,0,0,0,40.65,13:00:00,15:25:00,30.0,50.0,0.5,25607.0,26000CE,143.45,,20.66,25000PE,151.45,,-8.593125000000017,,,,12.063749999999972,0.0,0.0,0.0,12.06,52.71
2018-02-12,09:16:00,13:00:00,0,0,1,25583.95,25500CE,293.0,,-24.11,25600PE,286.8,,87.21500000000002,,,,63.10250000000003,0,0,0,63.1,13:00:00,15:25:00,30.0,50.0,0.5,25680.0,25900CE,126.0,,11.88,25400PE,129.2,13:36:00,-40.37,25900CE,100.75,,0.0,-40.37499999999999,23.675,-11.8,-28.5,34.6
