Date,P_StartTime_1,P_EndTime_1,P_SL_1,P_UTSL_1,P_OM_1,Future_1,CE.Strike_1,CE.Price_1,CE.SL.Time_1,CE.PNL_1,PE.Strike_1,PE.Price_1,PE.SL.Time_1,PE.PNL_1,UT.Strike_1,UT.Price_1,UT.SL.Time_1,BPL_1,TT.PL.AT.SL_1,UT.PL.AT.SL_1,UT.PNL_1,Total.PNL_1,P_StartTime_2,P_EndTime_2,P_SL_2,P_UTSL_2,P_OM_2,Future_2,CE.Strike_2,CE.Price_2,CE.SL.Time_2,CE.PNL_2,PE.Strike_2,PE.Price_2,PE.SL.Time_2,PE.PNL_2,UT.Strike_2,UT.Price_2,UT.SL.Time_2,BPL_2,TT.PL.AT.SL_2,UT.PL.AT.SL_2,UT.PNL_2,Total.PNL_2,Total.PNL
01-01-2024,09:16:00,13:00:00,0,0,1,72087.38,71600CE,870.2,,-45.03,72800PE,771.8,,96.7525,,,,51.725,0,0,0,51.72,13:00:00,15:25:00,30,50,0.5,72219.01,72500CE,378.25,14:05:00,-118.2,72200PE,360.9,,-52.61,72200PE,283.8,,0,-118.2,72.58875,-125.2,-170.81125,-119.09
02-01-2024,09:16:00,13:00:00,0,0,1,72183.06,71600CE,838.8,,275.31,72900PE,770.1,,-536.82625,,,,-261.51125,0,0,0,-261.51,13:00:00,15:25:00,30,50,0.5,71785.71,71900CE,384.55,14:39:00,-120.17,71800PE,378.25,,37.52,71800PE,262.15,,0,-120.17,111.371875,-73.85,-82.648125,-344.16
03-01-2024,09:16:00,13:00:00,0,0,1,71694.79,71000CE,832.15,,118.6,72400PE,813.4,,-68.1675,,,,50.430625,0,0,0,50.43,13:00:00,15:25:00,30,50,0.5,71544.54,71400CE,413,,135.74,71800PE,408.35,15:05:00,-127.61,71400CE,299.75,,0,-127.609375,108.0875,27.65,8.13,58.56
04-01-2024,09:17:00,13:00:00,0,0,1,71624.57,70700CE,964.55,,-274.51,72400PE,793,,249.7875,,,,-24.719375,0,0,0,-24.72,13:00:00,15:25:00,30,50,0.5,71865.74,71600CE,389.75,,-40.02,72200PE,375.85,,95.901875,,,,55.88,0,0,0,55.88,31.16
05-01-2024,09:16:00,13:00:00,0,0,1,72136.72,71400CE,692.25,,148.95,72800PE,709.45,,-163.418125,,,,-14.47125,0,0,0,-14.47,13:00:00,15:25:00,30,50,0.5,71881.05,71600CE,338.2,15:02:00,-105.69,72300PE,370.35,,91.22,72300PE,265.15,,0,-105.69,100.570625,-9.35,-14.469375,-28.94
08-01-2024,09:24:00,13:00:00,0,0,1,72165.71,71700CE,726.05,,327.67,73000PE,926,,-527.225,,,,-199.550625,0,0,0,-199.55,13:00:00,15:25:00,30,50,0.5,71596.18,71700CE,389.3,,119.33,71600PE,389,14:34:00,-121.56,71700CE,317.2,,0,-121.5625,67.23375,52.1,-2.23,-201.78
09-01-2024,09:16:00,13:00:00,0,0,1,71825.86,71200CE,762.7,,-206.98,72500PE,745,,129.6875,,,,-77.29625,0,0,0,-77.3,13:00:00,15:25:00,30,50,0.5,72010.59,72000CE,373.45,,223.28,72100PE,369.85,14:12:00,-115.58,72000CE,240.85,,0,-115.578125,127.931875,95.35,107.7,30.4
10-01-2024,09:16:00,13:00:00,0,0,1,71401.26,70800CE,708.95,,98.04,72000PE,718.4,,-136.23,,,,-38.191875,0,0,0,-38.19,13:00:00,15:25:00,30,50,0.5,71255.82,71200CE,354.8,14:17:00,-110.88,71300PE,364.1,,257.35,71300PE,244.75,,0,-110.88,114.79875,142.55,146.46875,108.28
11-01-2024,09:16:00,13:00:00,0,0,1,71912.94,71200CE,800.3,,100.8,72700PE,787.85,,-92.298125,,,,8.498125,0,0,0,8.5,13:00:00,15:25:00,30,50,0.5,71800.84,71600CE,358.9,,64.41,72100PE,342.6,14:10:00,-107.06,71600CE,256.05,,0,-107.0625,98.36375,-33.95,-42.65,-34.15
12-01-2024,09:16:00,13:00:00,0,0,1,72062.79,71300CE,736.5,,-403.46,72800PE,779.15,,403.410625,,,,-0.045625,0,0,0,-0.05,13:00:00,15:25:00,30,50,0.5,72465.42,72100CE,361.95,13:42:00,-113.11,72800PE,366,,127.78,72800PE,262.4,,0,-113.11,99.025,28.75,14.665,14.61
15-01-2024,09:16:00,13:00:00,0,0,1,73064.23,72600CE,755,,-101.59,73500PE,728,,108.45,,,,6.8625,0,0,0,6.86,13:00:00,15:25:00,30,50,0.5,73187.46,73400CE,374.8,,-70.94,73000PE,386.6,,78.6675,,,,7.7325,0,0,0,7.73,14.59
16-01-2024,09:16:00,13:00:00,0,0,1,73202.83,72700CE,739.3,,26.96,73700PE,745,,2.3875,,,,29.34625,0,0,0,29.35,13:00:00,15:25:00,30,50,0.5,73168.97,73200CE,384.85,,35.44,73100PE,394.95,13:36:00,-123.42,73200CE,288.55,,0,-123.421875,91.489375,-56.05,-87.98,-58.63
17-01-2024,09:16:00,13:00:00,0,0,1,72391.89,72100CE,737.3,,417.78,73100PE,705.7,,-686.12125,,,,-268.3375,0,0,0,-268.34,13:00:00,15:25:00,30,50,0.5,71724.83,71900CE,400.6,,148.09,71600PE,379.55,15:06:00,-118.61,71900CE,224.15,,0,-118.609375,171.4425,-23.35,29.48,-238.86
18-01-2024,09:16:00,13:00:00,0,0,1,70955.07,70000CE,1091.8,,-88,71600PE,779.15,,187.510625,,,,99.513125,0,0,0,99.51,13:00:00,15:25:00,30,50,0.5,71142.65,71000CE,360.3,,-102.25,71300PE,385.35,,139.483125,,,,37.229375,0,0,0,37.23,136.74
19-01-2024,09:16:00,13:00:00,0,0,1,71782.95,71000CE,872.55,,166.14,72700PE,847.4,,-180.3925,,,,-14.249375,0,0,0,-14.25,13:00:00,15:25:00,30,50,0.5,71671.8,71300CE,403.95,,15.95,72100PE,417.3,,-5.26625,,,,10.684375,0,0,0,10.68,-3.57
20-01-2024,09:16:00,13:00:00,0,0,1,71978.56,71600CE,763.2,,162.96,72500PE,755.75,,-74.346875,,,,88.613125,0,0,0,88.61,13:00:00,15:25:00,30,50,0.5,71740.81,72000CE,377.4,,82.68,71700PE,365,14:43:00,-114.06,72000CE,291.95,,0,-114.0625,80.7325,1.95,-31.38,57.23
23-01-2024,09:16:00,13:00:00,0,0,1,71991.32,71400CE,717.8,,513.13,72600PE,742.75,,-1067.384375,,,,-554.256875,0,0,0,-554.26,13:00:00,15:25:00,30,50,0.5,70764.23,70900CE,381.35,,194.33,70600PE,370.05,14:22:00,-115.64,70900CE,228,,0,-115.640625,148.583125,45.75,78.69,-475.57
24-01-2024,09:17:00,13:00:00,0,0,1,70172.42,69500CE,799.5,,-379.49,70800PE,774,,391.225,,,,11.73125,0,0,0,11.73,13:00:00,15:25:00,30,50,0.5,70595.1,70600CE,356.7,14:30:00,-111.47,70800PE,373.1,,257.04,70800PE,217.25,,0,-111.47,151.18625,105.85,145.56625,157.3
25-01-2024,09:16:00,13:00:00,0,0,1,70891.42,70300CE,781.7,,577.78,71700PE,766.25,,-557.728125,,,,20.050625,0,0,0,20.05,13:00:00,15:25:00,30,50,0.5,70386.52,70100CE,358.45,15:05:00,-112.02,70800PE,386.25,,244.92,70800PE,240.05,,0,-112.02,141.371875,103.55,132.901875,152.95
29-01-2024,09:16:00,13:00:00,0,0,1,71113.96,71000CE,745.2,,-669.36,71300PE,703.8,,222.0525,,,,-447.3125,0,0,0,-447.31,13:00:00,15:25:00,30,50,0.5,71848.1,73000CE,361.85,,34.83,70900PE,352,,88.05,,,,122.876875,0,0,0,122.88,-324.43
30-01-2024,09:16:00,13:00:00,0,0,1,72094.62,72100CE,766.6,,238.07,72300PE,757.25,,-216.615625,,,,21.451875,0,0,0,21.45,13:00:00,15:25:00,30,50,0.5,71681.42,72500CE,363.9,,149.35,71100PE,376.8,14:31:00,-117.75,72500CE,259.65,,0,-117.75,99.70125,49.65,31.6,53.05
31-01-2024,09:16:00,13:00:00,0,0,1,70963.85,70900CE,740,,-319.25,71300PE,754.7,,367.66625,,,,48.41625,0,0,0,48.42,13:00:00,15:25:00,30,50,0.5,71648.01,72200CE,364.45,15:05:00,-113.89,71300PE,377.6,,-10.77,71300PE,332.2,,0,-113.89,40.68,-51.45,-124.66,-76.24
01-02-2024,09:16:00,13:00:00,0,0,1,71809.6,71500CE,740,,243.2,72200PE,758.15,,139.723125,,,,382.923125,0,0,0,382.92,13:00:00,15:25:00,30,50,0.5,71729.04,71700CE,372.35,,120.7,71800PE,357.75,,35.728125,,,,156.42375,0,0,0,156.42,539.34
02-02-2024,09:16:00,13:00:00,0,0,1,72202.08,71500CE,762.95,,11.56,73000PE,776.65,,-47.708125,,,,-36.145,0,0,0,-36.14,13:00:00,15:25:00,30,50,0.5,72221.43,71900CE,398.8,,208.96,72500PE,383.2,13:13:00,-119.75,71900CE,271.35,,0,-119.75,122.465,86.5,89.22,53.08
05-02-2024,09:16:00,13:00:00,0,0,1,72032.39,72000CE,732.45,,-73.41,72200PE,709.7,,153.82875,,,,80.423125,0,0,0,80.42,13:00:00,15:25:00,30,50,0.5,72272.25,72800CE,385.85,,179.43,71800PE,392.95,14:35:00,-122.8,72800CE,249.7,,0,-122.796875,131.326875,48.1,56.63,137.05
06-02-2024,09:16:00,13:00:00,0,0,1,71782.06,71600CE,732.4,,-139.16,72100PE,739.8,,180.2525,,,,41.0975,0,0,0,41.1,13:00:00,15:25:00,30,50,0.5,72084.2,72500CE,373.6,,-38.37,71600PE,362.1,,58.77375,,,,20.40375,0,0,0,20.4,61.5
