Date,P_StartTime_1,P_EndTime_1,P_SL_1,P_UTSL_1,P_OM_1,Future_1,CE.Strike_1,CE.Price_1,CE.SL.Time_1,CE.PNL_1,PE.Strike_1,PE.Price_1,PE.SL.Time_1,PE.PNL_1,UT.Strike_1,UT.Price_1,UT.SL.Time_1,BPL_1,TT.PL.AT.SL_1,UT.PL.AT.SL_1,UT.PNL_1,Total.PNL_1,P_StartTime_2,P_EndTime_2,P_SL_2,P_UTSL_2,P_OM_2,Future_2,CE.Strike_2,CE.Price_2,CE.SL.Time_2,CE.PNL_2,PE.Strike_2,PE.Price_2,PE.SL.Time_2,PE.PNL_2,UT.Strike_2,UT.Price_2,UT.SL.Time_2,BPL_2,TT.PL.AT.SL_2,UT.PL.AT.SL_2,UT.PNL_2,Total.PNL_2,Total.PNL
2019-03-01,09:16:00,13:00:00,0,0,0.5,10894.95,10900CE,63.0,,10.47,10800PE,62.95,,8.970500000000001,,,,19.4405,0,0,0,19.44,13:00:00,15:25:00,45.0,50.0,0.3,10884.0,10950CE,33.0,,-0.53,10750PE,37.2,,8.678000000000004,,,,8.148000000000001,0.0,0.0,0.0,8.15,27.59
2019-03-05,09:16:00,13:00:00,0,0,0.5,10870.6,10800CE,76.4,,-52.61,10850PE,63.65,,33.3635,,,,-19.250499999999995,0,0,0,-19.25,13:00:00,15:25:00,45.0,50.0,0.3,10954.1,10950CE,32.9,14:35:00,-15.13,10850PE,29.65,,15.5,10850PE,15.75,,0.0,-15.13,13.603499999999999,1.9,0.37349999999999817,-18.88
2019-03-06,09:16:00,13:00:00,0,0,0.5,11060.9,10950CE,81.15,,-1.66,11050PE,57.2,,4.928,,,,3.2665000000000055,0,0,0,3.27,13:00:00,15:25:00,45.0,50.0,0.3,11062.75,11000CE,48.95,,-7.69,11000PE,29.45,,16.1055,,,,8.416000000000004,0.0,0.0,0.0,8.42,11.69
2019-03-07,09:16:00,13:00:00,0,0,0.5,11080.95,10950CE,85.4,,5.15,11100PE,62.6,,1.9740000000000015,,,,7.120000000000001,0,0,0,7.12,13:00:00,15:25:00,45.0,50.0,0.3,11076.1,11000CE,37.9,13:41:00,-17.43,11100PE,60.0,,22.4,11100PE,40.0,,0.0,-17.43,19.4,3.0,4.969999999999999,12.09
2019-03-08,09:16:00,13:00:00,0,0,0.5,11061.95,11000CE,78.15,,11.07,11050PE,78.15,,-10.7815,,,,0.2870000000000097,0,0,0,0.29,13:00:00,15:25:00,45.0,50.0,0.3,11040.0,11050CE,43.3,,-13.73,10950PE,41.35,,11.3365,,,,-2.396500000000005,0.0,0.0,0.0,-2.4,-2.11
2019-03-11,09:16:00,13:00:00,0,0,0.5,11104.05,11050CE,64.35,,-44.09,11100PE,73.4,,37.466,,,,-6.627500000000005,0,0,0,-6.63,13:00:00,15:25:00,45.0,50.0,0.3,11176.65,11150CE,47.0,,-14.67,11100PE,35.2,,9.598000000000003,,,,-5.072000000000001,0.0,0.0,0.0,-5.07,-11.7
2019-03-12,09:16:00,13:00:00,0,0,0.5,11269.95,11200CE,62.7,,-20.93,11250PE,52.0,,17.330000000000002,,,,-3.596999999999994,0,0,0,-3.6,13:00:00,15:25:00,45.0,50.0,0.3,11298.05,11250CE,49.55,14:43:00,-22.79,11250PE,34.15,,9.51,11250PE,19.35,,0.0,-22.79,14.458499999999997,-4.95,-13.281500000000001,-16.88
2019-03-13,09:16:00,13:00:00,0,0,0.5,11310.0,11250CE,50.05,,-10.6,11350PE,82.0,,11.880000000000003,,,,1.2795000000000005,0,0,0,1.28,13:00:00,15:25:00,45.0,50.0,0.3,11326.6,11300CE,33.85,13:41:00,-15.57,11300PE,39.7,,25.55,11300PE,20.85,,0.0,-15.57,18.453000000000003,7.1,9.983000000000004,11.26
2019-03-14,09:16:00,13:00:00,0,0,0.5,11385.0,11300CE,55.55,,18.04,11450PE,88.7,,-20.186999999999998,,,,-2.142500000000002,0,0,0,-2.14,13:00:00,15:25:00,45.0,50.0,0.3,11356.1,11300CE,36.95,14:29:00,-17.0,11400PE,60.85,,17.99,11400PE,33.95,14:37:00,0.0,-17.0,26.2915,-16.98,-7.683500000000002,-9.82
2019-03-15,09:16:00,13:00:00,0,0,0.5,11412.7,11400CE,62.6,,-30.98,11400PE,72.95,,21.3705,,,,-9.605500000000003,0,0,0,-9.61,13:00:00,15:25:00,45.0,50.0,0.3,11469.0,11500CE,43.5,14:12:00,-20.01,11400PE,50.85,,8.04,11400PE,43.8,,0.0,-20.01,6.5415000000000045,1.5,-11.968499999999997,-21.58
2019-03-18,09:16:00,13:00:00,0,0,0.5,11532.25,11500CE,68.0,,32.92,11550PE,79.45,,-39.3445,,,,-6.424499999999995,0,0,0,-6.42,13:00:00,15:25:00,45.0,50.0,0.3,11463.55,11500CE,34.4,,-7.49,11400PE,37.95,,17.2205,,,,9.726500000000001,0.0,0.0,0.0,9.73,3.31
