Date,Day,BANKNIFTY,NIFTY,FINNIFTY,MIDCPNIFTY,SENSEX,BANKEX
02-01-2017,Monday,4,,,,,
03-01-2017,Tuesday,3,,,,,
04-01-2017,Wednesday,2,,,,,
05-01-2017,Thursday,1,,,,,
06-01-2017,Friday,5,,,,,
09-01-2017,Monday,4,,,,,
10-01-2017,Tuesday,3,,,,,
11-01-2017,Wednesday,2,,,,,
12-01-2017,Thursday,1,,,,,
13-01-2017,Friday,5,,,,,
16-01-2017,Monday,4,,,,,
17-01-2017,Tuesday,3,,,,,
18-01-2017,Wednesday,2,,,,,
19-01-2017,Thursday,1,,,,,
20-01-2017,Friday,4,,,,,
23-01-2017,Monday,3,,,,,
24-01-2017,Tuesday,2,,,,,
25-01-2017,Wednesday,1,,,,,
27-01-2017,Friday,5,,,,,
30-01-2017,Monday,4,,,,,
31-01-2017,Tuesday,3,,,,,
01-02-2017,Wednesday,2,,,,,
02-02-2017,Thursday,1,,,,,
03-02-2017,Friday,5,,,,,
06-02-2017,Monday,4,,,,,
07-02-2017,Tuesday,3,,,,,
08-02-2017,Wednesday,2,,,,,
09-02-2017,Thursday,1,,,,,
10-02-2017,Friday,5,,,,,
13-02-2017,Monday,4,,,,,
14-02-2017,Tuesday,3,,,,,
15-02-2017,Wednesday,2,,,,,
16-02-2017,Thursday,1,,,,,
17-02-2017,Friday,5,,,,,
20-02-2017,Monday,4,,,,,
21-02-2017,Tuesday,3,,,,,
22-02-2017,Wednesday,2,,,,,
23-02-2017,Thursday,1,,,,,
27-02-2017,Monday,4,,,,,
28-02-2017,Tuesday,3,,,,,
01-03-2017,Wednesday,2,,,,,
02-03-2017,Thursday,1,,,,,
03-03-2017,Friday,5,,,,,
06-03-2017,Monday,4,,,,,
07-03-2017,Tuesday,3,,,,,
08-03-2017,Wednesday,2,,,,,
09-03-2017,Thursday,1,,,,,
10-03-2017,Friday,4,,,,,
14-03-2017,Tuesday,3,,,,,
15-03-2017,Wednesday,2,,,,,
16-03-2017,Thursday,1,,,,,
17-03-2017,Friday,5,,,,,
20-03-2017,Monday,4,,,,,
21-03-2017,Tuesday,3,,,,,
22-03-2017,Wednesday,2,,,,,
23-03-2017,Thursday,1,,,,,
24-03-2017,Friday,5,,,,,
27-03-2017,Monday,4,,,,,
28-03-2017,Tuesday,3,,,,,
29-03-2017,Wednesday,2,,,,,
30-03-2017,Thursday,1,,,,,
31-03-2017,Friday,4,,,,,
03-04-2017,Monday,3,,,,,
05-04-2017,Wednesday,2,,,,,
06-04-2017,Thursday,1,,,,,
07-04-2017,Friday,5,,,,,
10-04-2017,Monday,4,,,,,
11-04-2017,Tuesday,3,,,,,
12-04-2017,Wednesday,2,,,,,
13-04-2017,Thursday,1,,,,,
17-04-2017,Monday,4,,,,,
18-04-2017,Tuesday,3,,,,,
19-04-2017,Wednesday,2,,,,,
20-04-2017,Thursday,1,,,,,
21-04-2017,Friday,5,,,,,
24-04-2017,Monday,4,,,,,
25-04-2017,Tuesday,3,,,,,
26-04-2017,Wednesday,2,,,,,
27-04-2017,Thursday,1,,,,,
28-04-2017,Friday,4,,,,,
02-05-2017,Tuesday,3,,,,,
03-05-2017,Wednesday,2,,,,,
04-05-2017,Thursday,1,,,,,
05-05-2017,Friday,5,,,,,
08-05-2017,Monday,4,,,,,
09-05-2017,Tuesday,3,,,,,
10-05-2017,Wednesday,2,,,,,
11-05-2017,Thursday,1,,,,,
12-05-2017,Friday,5,,,,,
15-05-2017,Monday,4,,,,,
16-05-2017,Tuesday,3,,,,,
17-05-2017,Wednesday,2,,,,,
18-05-2017,Thursday,1,,,,,
19-05-2017,Friday,5,,,,,
22-05-2017,Monday,4,,,,,
23-05-2017,Tuesday,3,,,,,
24-05-2017,Wednesday,2,,,,,
25-05-2017,Thursday,1,,,,,
26-05-2017,Friday,5,,,,,
29-05-2017,Monday,4,,,,,
30-05-2017,Tuesday,3,,,,,
