P_Strategy,P_Index,P_StartTime,P_EndTime,P_OrderSide,P_SL,P_IntraSL,P_OM,Date,day,dte,EntryTime,Future,Strike,CE.Price,PE.Price,STD.0.Open,SL,IntraSL,STD0.Scrip,0.SL.Flag,0.SL.Time,0.INTRA_SL.Flag,0.INTRA_SL.Time,0.PNL,1.Decay.Flag,1.Decay.Time,STD1.Scrip,1.SL.Flag,1.SL.Time,1.INTRA_SL.Flag,1.INTRA_SL.Time,1.PNL,2.Decay.Flag,2.Decay.Time,STD2.Scrip,2.SL.Flag,2.SL.Time,2.INTRA_SL.Flag,2.INTRA_SL.Time,2.PNL,3.Decay.Flag,3.Decay.Time,STD3.Scrip,3.SL.Flag,3.SL.Time,3.INTRA_SL.Flag,3.INTRA_SL.Time,3.PNL,4.Decay.Flag,4.Decay.Time,STD4.Scrip,4.SL.Flag,4.SL.Time,4.INTRA_SL.Flag,4.INTRA_SL.Time,4.PNL,5.Decay.Flag,5.Decay.Time,STD5.Scrip,5.SL.Flag,5.SL.Time,5.INTRA_SL.Flag,5.INTRA_SL.Time,5.PNL,6.Decay.Flag,6.Decay.Time,STD6.Scrip,6.SL.Flag,6.SL.Time,6.INTRA_SL.Flag,6.INTRA_SL.Time,6.PNL,7.Decay.Flag,7.Decay.Time,STD7.Scrip,7.SL.Flag,7.SL.Time,7.INTRA_SL.Flag,7.INTRA_SL.Time,7.PNL
SRE,banknifty,09:16:00,15:25:00,BUY,4,14,0.3,2017-01-05,Thursday,1,09:16:00,18050.05,"('18000CE', '18000PE')",59.0,42.7,101.7,97.632,87.462,,True,2017-01-05 10:03:00,False,,-6.221250000000003,False,,,False,,True,2017-01-05 11:33:00,-14.754375000000001,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0
SRE,banknifty,09:16:00,15:25:00,BUY,4,14,0.3,2017-01-06,Friday,7,09:16:00,18209.9,"('18400CE', '17900PE')",54.75,57.0,111.75,107.28,96.105,,True,2017-01-06 14:31:00,False,,-7.196874999999997,False,,,False,,True,None,-17.041874999999997,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0
SRE,banknifty,09:16:00,15:25:00,BUY,4,14,0.3,2017-01-09,Monday,4,09:16:00,18309.2,"('18400CE', '18000PE')",69.85,46.0,115.85,111.216,99.631,,True,2017-01-09 09:19:00,False,,-7.898124999999989,False,,,False,,True,2017-01-09 14:30:00,-16.683500000000002,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0
SRE,banknifty,09:16:00,15:25:00,BUY,4,14,0.3,2017-01-10,Tuesday,3,09:16:00,18387.0,"('18500CE', '18200PE')",49.0,50.6,99.6,95.61599999999999,85.65599999999999,,True,2017-01-10 09:18:00,False,,-6.144999999999992,False,,,False,,True,2017-01-10 11:10:00,-14.441749999999995,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0
SRE,banknifty,09:16:00,15:25:00,BUY,4,14,0.3,2017-01-11,Wednesday,2,09:16:00,18539.6,"('18500CE', '18400PE')",69.2,33.7,102.9,98.784,88.494,,False,,False,,189.26375,False,,,False,,False,,0.0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0
SRE,banknifty,09:16:00,15:25:00,BUY,4,14,0.3,2017-01-12,Thursday,1,09:16:00,18873.15,"('18800CE', '18800PE')",72.85,31.8,104.64999999999999,100.46399999999998,89.999,,True,2017-01-12 09:58:00,False,,-8.508125000000003,False,,,False,,True,2017-01-12 11:50:00,-14.861125000000001,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0
SRE,banknifty,09:16:00,15:25:00,BUY,4,14,0.3,2017-01-13,Friday,7,09:16:00,18937.95,"('19200CE', '18600PE')",53.4,48.8,102.19999999999999,98.11199999999998,87.892,,True,2017-01-13 09:17:00,False,,-7.127499999999994,False,,,False,,True,2017-01-13 11:25:00,-14.693375000000005,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0
SRE,banknifty,09:16:00,15:25:00,BUY,4,14,0.3,2017-01-16,Monday,4,09:16:00,18898.0,"('19000CE', '18600PE')",70.85,46.05,116.89999999999999,112.22399999999999,100.53399999999999,,False,,False,,77.83875000000002,False,,,False,,False,,0.0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0
SRE,banknifty,09:16:00,15:25:00,BUY,4,14,0.3,2017-01-17,Tuesday,3,09:16:00,19167.0,"('19300CE', '19000PE')",53.05,59.65,112.69999999999999,108.19199999999998,96.92199999999998,,True,2017-01-17 10:17:00,False,,-6.008749999999994,False,,,False,,True,2017-01-17 14:47:00,-16.48525,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0
SRE,banknifty,09:16:00,15:25:00,BUY,4,14,0.3,2017-01-18,Wednesday,2,09:16:00,19169.95,"('19200CE', '19100PE')",66.65,68.0,134.65,129.264,115.799,,False,,True,2017-01-18 12:10:00,-20.534125,False,,,False,,False,,0.0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0,False,,,False,,False,,0
