P_Strategy,P_Index,P_StartTime,P_EndTime,P_OrderSide,P_SL,P_IntraSL,P_OM,Date,day,dte,EntryTime,Future,CE.Strike,CE.Price,PE.Strike,PE.Price,SL,IntraSL,0.SL.Flag,0.SL.Time,0.INTRA_SL.Flag,0.INTRA_SL.Time,0.PNL,1.Decay.Flag,1.Decay.Time,1.SL.Flag,1.SL.Time,1.INTRA_SL.Flag,1.INTRA_SL.Time,1.PNL,2.Decay.Flag,2.Decay.Time,2.SL.Flag,2.SL.Time,2.INTRA_SL.Flag,2.INTRA_SL.Time,2.PNL,3.Decay.Flag,3.Decay.Time,3.SL.Flag,3.SL.Time,3.INTRA_SL.Flag,3.INTRA_SL.Time,3.PNL,4.Decay.Flag,4.Decay.Time,4.SL.Flag,4.SL.Time,4.INTRA_SL.Flag,4.INTRA_SL.Time,4.PNL,5.Decay.Flag,5.Decay.Time,5.SL.Flag,5.SL.Time,5.INTRA_SL.Flag,5.INTRA_SL.Time,5.PNL,6.Decay.Flag,6.Decay.Time,6.SL.Flag,6.SL.Time,6.INTRA_SL.Flag,6.INTRA_SL.Time,6.PNL,7.Decay.Flag,7.Decay.Time,7.SL.Flag,7.SL.Time,7.INTRA_SL.Flag,7.INTRA_SL.Time,7.PNL,8.Decay.Flag,8.Decay.Time,8.SL.Flag,8.SL.Time,8.INTRA_SL.Flag,8.INTRA_SL.Time,8.PNL,9.Decay.Flag,9.Decay.Time,9.SL.Flag,9.SL.Time,9.INTRA_SL.Flag,9.INTRA_SL.Time,9.PNL,10.Decay.Flag,10.Decay.Time,10.SL.Flag,10.SL.Time,10.INTRA_SL.Flag,10.INTRA_SL.Time,10.PNL
SRE,banknifty,09:16:00,15:25:00,BUY,45,95,0.9,2023-01-02,Monday,4,09:16:00,43275.3,43000CE,387.4,43300PE,411.55,439.42250000000007,39.94750000000004,False,,False,,-91.83687500000002,False,,False,,False,,0.0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0
SRE,banknifty,09:16:00,15:25:00,BUY,45,95,0.9,2023-01-03,Tuesday,3,09:16:00,43459.7,43100CE,390.2,43500PE,368.5,417.2850000000001,37.93500000000004,False,,False,,-73.18375000000005,False,,False,,False,,0.0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0
SRE,banknifty,09:16:00,15:25:00,BUY,45,95,0.9,2023-01-04,Wednesday,2,09:16:00,43634.65,43200CE,392.05,43800PE,393.0,431.77750000000003,39.25250000000003,False,,False,,126.73687499999996,False,,False,,False,,0.0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0
SRE,banknifty,09:16:00,15:25:00,BUY,45,95,0.9,2023-01-05,Thursday,1,09:16:00,43176.4,42700CE,388.55,43400PE,405.05,436.4800000000001,39.680000000000035,False,,False,,-7.370000000000047,False,,False,,False,,0.0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0
SRE,banknifty,09:16:00,15:25:00,BUY,45,95,0.9,2023-01-06,Friday,7,09:16:00,42769.8,42600CE,385.75,42700PE,362.55,411.565,37.41500000000003,False,,False,,25.19625000000007,False,,False,,False,,0.0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0
SRE,banknifty,09:16:00,15:25:00,BUY,45,95,0.9,2023-01-09,Monday,4,09:16:00,42478.7,42200CE,399.15,42500PE,387.4,432.6025,39.327500000000036,False,,False,,-82.331875,False,,False,,False,,0.0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0
SRE,banknifty,09:16:00,15:25:00,BUY,45,95,0.9,2023-01-10,Tuesday,3,09:16:00,42627.85,42300CE,369.4,42700PE,373.65,408.6775,37.15250000000003,False,,False,,54.811875000000136,False,,False,,False,,0.0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0
SRE,banknifty,09:16:00,15:25:00,BUY,45,95,0.9,2023-01-11,Wednesday,2,09:16:00,42112.7,41700CE,419.25,42300PE,436.0,470.38750000000005,42.76250000000004,False,,False,,-96.04062500000002,False,,False,,False,,0.0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0
SRE,banknifty,09:16:00,15:25:00,BUY,45,95,0.9,2023-01-12,Thursday,1,09:16:00,42310.45,41800CE,429.6,42500PE,398.7,455.565,41.415000000000035,False,,False,,-139.10375,False,,False,,False,,0.0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0
SRE,banknifty,09:16:00,15:25:00,BUY,45,95,0.9,2023-01-13,Friday,7,09:16:00,42178.35,42100CE,379.2,42100PE,383.35,419.40250000000003,38.12750000000003,False,,False,,-68.48187499999993,False,,False,,False,,0.0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0
