P_Strategy,P_Index,P_StartTime,P_EndTime,P_OrderSide,P_SL,P_IntraSL,P_OM,Date,day,dte,EntryTime,Future,CE.Strike,CE.Price,PE.Strike,PE.Price,SL,IntraSL,0.SL.Flag,0.SL.Time,0.INTRA_SL.Flag,0.INTRA_SL.Time,0.PNL,1.Decay.Flag,1.Decay.Time,1.SL.Flag,1.SL.Time,1.INTRA_SL.Flag,1.INTRA_SL.Time,1.PNL,2.Decay.Flag,2.Decay.Time,2.SL.Flag,2.SL.Time,2.INTRA_SL.Flag,2.INTRA_SL.Time,2.PNL,3.Decay.Flag,3.Decay.Time,3.SL.Flag,3.SL.Time,3.INTRA_SL.Flag,3.INTRA_SL.Time,3.PNL,4.Decay.Flag,4.Decay.Time,4.SL.Flag,4.SL.Time,4.INTRA_SL.Flag,4.INTRA_SL.Time,4.PNL,5.Decay.Flag,5.Decay.Time,5.SL.Flag,5.SL.Time,5.INTRA_SL.Flag,5.INTRA_SL.Time,5.PNL,6.Decay.Flag,6.Decay.Time,6.SL.Flag,6.SL.Time,6.INTRA_SL.Flag,6.INTRA_SL.Time,6.PNL,7.Decay.Flag,7.Decay.Time,7.SL.Flag,7.SL.Time,7.INTRA_SL.Flag,7.INTRA_SL.Time,7.PNL,8.SL.Flag,8.SL.Time,8.PNL,9.SL.Flag,9.SL.Time,9.PNL,10.INTRA_SL.Flag,10.INTRA_SL.Time,10.PNL,10.SL.Flag,10.SL.Time,11.SL.Flag,11.SL.Time,11.PNL,12.SL.Flag,12.SL.Time,12.PNL,13.SL.Flag,13.SL.Time,13.PNL,14.SL.Flag,14.SL.Time,14.PNL,15.SL.Flag,15.SL.Time,15.PNL,16.PNL,16.SL.Flag,16.SL.Time,17.SL.Flag,17.SL.Time,17.PNL,18.SL.Flag,18.SL.Time,18.PNL,19.SL.Flag,19.SL.Time,19.PNL,20.SL.Flag,20.SL.Time,20.PNL,21.SL.Flag,21.SL.Time,21.PNL,22.SL.Flag,22.SL.Time,22.PNL,23.SL.Flag,23.SL.Time,23.PNL,24.SL.Flag,24.SL.Time,24.PNL,25.PNL,25.SL.Flag,25.SL.Time,26.SL.Flag,26.SL.Time,26.PNL,27.SL.Flag,27.SL.Time,27.PNL,28.SL.Flag,28.SL.Time,28.PNL,29.SL.Flag,29.SL.Time,29.PNL,30.SL.Flag,30.SL.Time,30.PNL,31.SL.Flag,31.SL.Time,31.PNL,32.SL.Flag,32.SL.Time,32.PNL,33.SL.Flag,33.SL.Time,33.PNL,34.SL.Flag,34.SL.Time,34.PNL,35.SL.Flag,35.SL.Time,35.PNL,36.SL.Flag,36.SL.Time,36.PNL,37.SL.Flag,37.SL.Time,37.PNL,38.SL.Flag,38.SL.Time,38.PNL,39.SL.Flag,39.SL.Time,39.PNL,40.PNL,40.SL.Flag,40.SL.Time,41.PNL,22.INTRA_SL.Flag,22.INTRA_SL.Time,13.INTRA_SL.Flag,13.INTRA_SL.Time,17.INTRA_SL.Flag,17.INTRA_SL.Time
SRE,nifty,09:16:00,15:25:00,BUY,5,55,0.1,2023-01-02,Monday,4,2023-01-02 09:16:00,18210.0,18400CE,22.9,17850PE,21.95,42.607499999999995,20.182499999999994,True,2023-01-02 10:34:00,False,,-2.691,False,,True,2023-01-02 12:27:00,False,,-2.5290000000000017,False,,True,2023-01-02 14:03:00,False,,-2.3970000000000025,False,,True,2023-01-02 14:34:00,False,,-2.277000000000001,False,,True,None,False,,-2.163000000000002,False,,False,,False,,[0.76],False,,False,,False,,0,False,,False,,False,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,nifty,09:16:00,15:25:00,BUY,5,55,0.1,2023-01-03,Tuesday,3,2023-01-03 09:16:00,18233.5,18400CE,18.55,17950PE,22.15,38.665,18.314999999999998,True,2023-01-03 09:31:00,False,,-2.4420000000000037,False,,True,2023-01-03 11:22:00,False,,-2.316,False,,True,2023-01-03 11:55:00,False,,-2.190000000000003,False,,True,2023-01-03 12:21:00,False,,-2.0430000000000006,False,,True,2023-01-03 13:15:00,False,,-1.9350000000000007,False,,True,2023-01-03 15:06:00,False,,-1.8270000000000008,False,,True,None,False,,-1.7340000000000002,False,,False,,False,,[-0.424],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,nifty,09:16:00,15:25:00,BUY,5,55,0.1,2023-01-04,Wednesday,2,2023-01-04 09:16:00,18279.4,18350CE,21.5,18050PE,18.1,37.62,17.82,True,2023-01-04 09:22:00,False,,-2.376000000000004,False,,True,None,False,,-2.187000000000005,False,,False,,False,,[24.204],False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,nifty,09:16:00,15:25:00,BUY,5,55,0.1,2023-01-05,Thursday,1,2023-01-05 09:16:00,18119.2,18150CE,19.6,18000PE,27.25,44.5075,21.0825,True,2023-01-05 09:19:00,False,,-2.8110000000000013,False,,True,2023-01-05 09:28:00,False,,-2.663999999999999,False,,True,2023-01-05 10:37:00,False,,-2.490000000000003,False,,True,2023-01-05 11:09:00,False,,-2.288999999999999,False,,True,2023-01-05 11:16:00,False,,-2.1720000000000024,False,,True,2023-01-05 15:01:00,False,,-2.019000000000001,False,,True,2023-01-05 15:03:00,False,,-1.8780000000000012,False,,True,2023-01-05 15:05:00,False,,-1.3980000000000028,True,2023-01-05 15:09:00,-1.2630000000000021,True,2023-01-05 15:11:00,-1.080000000000002,True,2023-01-05 15:11:00,-8.820000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,nifty,09:16:00,15:25:00,BUY,5,55,0.1,2023-01-06,Friday,7,2023-01-06 09:16:00,18084.0,18350CE,20.3,17650PE,20.0,38.285,18.134999999999998,True,2023-01-06 09:28:00,False,,-2.4180000000000006,False,,True,None,False,,-2.2080000000000033,False,,False,,False,,[0.807],False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,nifty,09:16:00,15:25:00,BUY,5,55,0.1,2023-01-09,Monday,4,2023-01-09 09:16:00,18053.95,18250CE,20.85,17750PE,22.75,41.42,19.619999999999997,True,2023-01-09 13:31:00,False,,-2.6159999999999997,False,,True,2023-01-09 13:40:00,False,,-2.463000000000002,False,,True,2023-01-09 14:46:00,False,,-2.325,False,,True,None,False,,-2.202000000000001,False,,False,,False,,[0.407],False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,nifty,09:16:00,15:25:00,BUY,5,55,0.1,2023-01-10,Tuesday,3,2023-01-10 09:16:00,18131.25,18250CE,21.45,17850PE,21.15,40.46999999999999,19.169999999999995,True,None,False,,-2.5560000000000027,False,,False,,False,,[12.448],False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,nifty,09:16:00,15:25:00,BUY,5,55,0.1,2023-01-11,Wednesday,2,2023-01-11 09:16:00,17954.1,18100CE,21.25,17700PE,21.25,40.375,19.124999999999996,True,2023-01-11 10:51:00,False,,-2.55,False,,True,2023-01-11 11:11:00,False,,-2.4120000000000053,False,,True,2023-01-11 11:44:00,False,,-2.277000000000001,False,,True,2023-01-11 12:30:00,False,,-2.163000000000002,False,,True,2023-01-11 12:59:00,False,,-2.0070000000000032,False,,True,2023-01-11 13:37:00,False,,-1.902000000000001,False,,True,2023-01-11 13:47:00,False,,-1.8060000000000025,False,,True,2023-01-11 14:09:00,False,,-1.6980000000000026,True,2023-01-11 14:25:00,-1.6079999999999999,True,2023-01-11 14:29:00,-1.521000000000002,,,-1.419000000000001,True,2023-01-11 14:46:00,True,2023-01-11 15:05:00,-1.338000000000002,True,2023-01-11 15:09:00,-1.2510000000000003,True,2023-01-11 15:16:00,-1.1850000000000007,True,2023-01-11 15:18:00,-1.0950000000000015,True,None,-1.038000000000002,[-0.3585],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,nifty,09:16:00,15:25:00,BUY,5,55,0.1,2023-01-12,Thursday,1,2023-01-12 09:16:00,17989.85,18000CE,27.9,17800PE,17.1,42.75,20.249999999999996,True,2023-01-12 09:28:00,False,,-2.7,False,,True,2023-01-12 09:42:00,False,,-2.5470000000000024,False,,True,2023-01-12 09:53:00,False,,-2.4120000000000053,False,,True,2023-01-12 12:16:00,False,,-2.175,False,,True,2023-01-12 12:19:00,False,,-2.025,False,,True,2023-01-12 12:47:00,False,,-1.8810000000000024,False,,True,2023-01-12 12:51:00,False,,-1.6020000000000008,False,,True,2023-01-12 12:53:00,False,,-1.5180000000000007,True,2023-01-12 14:07:00,-1.2720000000000022,True,2023-01-12 14:09:00,-1.0200000000000014,,,-0.9570000000000012,True,2023-01-12 14:16:00,True,2023-01-12 14:18:00,-0.7200000000000014,True,2023-01-12 14:21:00,-0.6329999999999999,True,2023-01-12 14:24:00,-0.4650000000000002,True,2023-01-12 14:50:00,-0.3840000000000003,True,2023-01-12 15:00:00,-0.32100000000000006,-0.20099999999999998,True,2023-01-12 15:02:00,True,2023-01-12 15:04:00,-0.12300000000000003,True,2023-01-12 15:06:00,-0.0630000000000001,True,2023-01-12 15:08:00,-0.04500000000000009,True,2023-01-12 15:10:00,-0.03900000000000008,True,2023-01-12 15:15:00,-0.024000000000000018,True,2023-01-12 15:18:00,-0.015000000000000012,True,2023-01-12 15:21:00,-0.012000000000000009,True,None,-0.009000000000000006,[-0.001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,nifty,09:16:00,15:25:00,BUY,5,55,0.1,2023-01-13,Friday,7,2023-01-13 09:16:00,17898.85,18250CE,19.45,17400PE,20.35,37.809999999999995,17.909999999999997,True,2023-01-13 09:26:00,False,,-2.388000000000002,False,,True,2023-01-13 09:33:00,False,,-2.2170000000000036,False,,True,2023-01-13 10:22:00,False,,-2.0580000000000034,False,,True,2023-01-13 10:42:00,False,,-1.8720000000000023,False,,True,2023-01-13 11:16:00,False,,-1.7730000000000028,False,,True,2023-01-13 11:51:00,False,,-1.6829999999999998,False,,True,2023-01-13 15:05:00,False,,-1.5960000000000019,False,,True,None,False,,-1.5120000000000016,,,[0.4695],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
