P_Strategy,P_Index,P_StartTime,P_EndTime,P_OrderSide,P_SL,P_IntraSL,P_OM,Date,day,dte,EntryTime,Future,CE.Strike,CE.Price,PE.Strike,PE.Price,SL,IntraSL,0.SL.Flag,0.SL.Time,0.INTRA_SL.Flag,0.INTRA_SL.Time,0.PNL,1.Decay.Flag,1.Decay.Time,1.SL.Flag,1.SL.Time,1.INTRA_SL.Flag,1.INTRA_SL.Time,1.PNL,2.Decay.Flag,2.Decay.Time,2.SL.Flag,2.SL.Time,2.INTRA_SL.Flag,2.INTRA_SL.Time,2.PNL,3.Decay.Flag,3.Decay.Time,3.SL.Flag,3.SL.Time,3.INTRA_SL.Flag,3.INTRA_SL.Time,3.PNL,4.Decay.Flag,4.Decay.Time,4.SL.Flag,4.SL.Time,4.INTRA_SL.Flag,4.INTRA_SL.Time,4.PNL,5.Decay.Flag,5.Decay.Time,5.SL.Flag,5.SL.Time,5.INTRA_SL.Flag,5.INTRA_SL.Time,5.PNL,6.Decay.Flag,6.Decay.Time,6.SL.Flag,6.SL.Time,6.INTRA_SL.Flag,6.INTRA_SL.Time,6.PNL,7.Decay.Flag,7.Decay.Time,7.SL.Flag,7.SL.Time,7.INTRA_SL.Flag,7.INTRA_SL.Time,7.PNL,8.Decay.Flag,8.Decay.Time,8.SL.Flag,8.SL.Time,8.INTRA_SL.Flag,8.INTRA_SL.Time,8.PNL,9.Decay.Flag,9.Decay.Time,9.SL.Flag,9.SL.Time,9.INTRA_SL.Flag,9.INTRA_SL.Time,9.PNL,10.Decay.Flag,10.Decay.Time,10.SL.Flag,10.SL.Time,10.INTRA_SL.Flag,10.INTRA_SL.Time,10.PNL
SRE,sensex,09:16:00,15:25:00,BUY,0,50,0.6,2024-01-01,Monday,5,09:16:00,72087.38,72300CE,451.05,72200PE,454.35,905.4000000000001,452.70000000000005,False,,False,,-123.21750000000009,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0
SRE,sensex,09:16:00,15:25:00,BUY,0,50,0.6,2024-01-02,Tuesday,4,09:16:00,72183.06,72200CE,438.1,72400PE,450.0,888.1,444.05,False,,False,,9.498749999999909,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0
SRE,sensex,09:16:00,15:25:00,BUY,0,50,0.6,2024-01-03,Wednesday,3,09:16:00,71694.79,71500CE,467.1,71900PE,455.4,922.5,461.25,False,,False,,-98.28125,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0
SRE,sensex,09:16:00,15:25:00,BUY,0,50,0.6,2024-01-04,Thursday,2,09:16:00,71624.82,71300CE,440.0,72000PE,462.0,902.0,451.0,False,,False,,-63.174999999999976,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0
SRE,sensex,09:16:00,15:25:00,BUY,0,50,0.6,2024-01-05,Friday,1,09:16:00,72136.72,71600CE,496.6,72600PE,511.85,1008.45,504.225,False,,False,,-19.605625000000003,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0
SRE,sensex,09:16:00,15:25:00,BUY,0,50,0.6,2024-01-08,Monday,5,09:16:00,72100.65,72100CE,445.25,72200PE,427.0,872.25,436.125,False,,False,,202.44687499999992,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0
SRE,sensex,09:16:00,15:25:00,BUY,0,50,0.6,2024-01-09,Tuesday,4,09:16:00,71825.86,71600CE,470.9,72100PE,448.0,918.9,459.45,False,,False,,127.96374999999993,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0
SRE,sensex,09:16:00,15:25:00,BUY,0,50,0.6,2024-01-10,Wednesday,3,09:16:00,71401.26,71200CE,464.65,71600PE,447.15,911.8,455.9,False,,False,,-60.59749999999993,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0
SRE,sensex,09:16:00,15:25:00,BUY,0,50,0.6,2024-01-11,Thursday,2,09:16:00,71912.94,71600CE,458.45,72300PE,461.45,919.9,459.95,False,,False,,-76.79874999999996,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0
SRE,sensex,09:16:00,15:25:00,BUY,0,50,0.6,2024-01-12,Friday,1,09:16:00,72062.79,71600CE,445.6,72500PE,488.0,933.6,466.8,False,,False,,20.429999999999907,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0,False,,False,,False,,0
