P_Strategy,P_Index,P_StartTime,P_EndTime,P_OrderSide,P_Method,P_SL,P_UTSL,P_OM,Date,Day,DTE,EntryTime,Future,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Flag,PE.SL.Time,PE.PNL,UT.Strike,UT.Open,UT.High,UT.Low,UT.Close,UT.SL.Flag,UT.SL.Time,BPL,TT.PL.AT.SL,UT.PL.AT.SL,UT.PNL,Total.PNL
B120,NIFTY,09:20:00,15:25:00,SELL,HL,20.0,50.0,0.0,2022-01-06,Thursday,1,09:20:00,17796.85,17750CE,53.6,69.85,0.1,0.1,True,09:22:00,-11.256000000000006,17750PE,43.5,102.3,2.2,4.75,True,09:29:00,-9.135000000000003,17750PE,33.55,102.3,2.2,4.75,True,09:29:00,0.0,-11.256000000000006,9.515000000000002,-16.775,-18.516000000000002
B120,NIFTY,09:20:00,15:25:00,SELL,HL,20.0,50.0,0.1,2022-01-06,Thursday,1,09:20:00,17796.85,17800CE,28.4,39.35,0.05,0.05,True,09:22:00,-5.9639999999999995,17650PE,16.95,43.55,0.05,0.05,True,09:29:00,-3.5595000000000008,17650PE,13.0,43.55,0.05,0.05,True,09:29:00,0.0,-5.9639999999999995,3.780499999999999,-6.5,-8.6835
B120,NIFTY,09:20:00,15:25:00,SELL,HL,20.0,50.0,0.2,2022-01-06,Thursday,1,09:20:00,17796.85,17750CE,53.6,69.85,0.1,0.1,True,09:22:00,-11.256000000000006,17750PE,43.5,102.3,2.2,4.75,True,09:29:00,-9.135000000000003,17750PE,33.55,102.3,2.2,4.75,True,09:29:00,0.0,-11.256000000000006,9.515000000000002,-16.775,-18.516000000000002
B120,NIFTY,09:20:00,15:25:00,SELL,HL,20.0,50.0,0.3,2022-01-06,Thursday,1,09:20:00,17796.85,17750CE,53.6,69.85,0.1,0.1,True,09:22:00,-11.256000000000006,17800PE,68.6,149.0,22.2,54.8,True,09:29:00,-14.405999999999999,17800PE,54.1,149.0,22.2,54.8,True,09:29:00,0.0,-11.256000000000006,13.813999999999993,-27.050000000000004,-24.49200000000002
B120,NIFTY,09:20:00,15:25:00,SELL,HL,20.0,50.0,0.4,2022-01-06,Thursday,1,09:20:00,17796.85,17700CE,87.55,108.55,11.5,45.2,True,09:22:00,-18.385500000000004,17850PE,103.1,198.2,62.8,104.5,True,09:29:00,-21.651000000000003,17850PE,84.35,198.2,62.8,104.5,True,09:29:00,0.0,-18.385500000000004,17.719,-42.175,-42.841499999999996
B120,NIFTY,09:20:00,15:25:00,SELL,HL,20.0,70.0,0.0,2022-01-06,Thursday,1,09:20:00,17796.85,17750CE,53.6,69.85,0.1,0.1,True,09:22:00,-11.256000000000006,17750PE,43.5,102.3,2.2,4.75,True,09:29:00,-9.135000000000003,17750PE,33.55,102.3,2.2,4.75,True,09:29:00,0.0,-11.256000000000006,9.515000000000002,-23.485,-25.226000000000003
B120,NIFTY,09:20:00,15:25:00,SELL,HL,20.0,70.0,0.1,2022-01-06,Thursday,1,09:20:00,17796.85,17800CE,28.4,39.35,0.05,0.05,True,09:22:00,-5.9639999999999995,17650PE,16.95,43.55,0.05,0.05,True,09:29:00,-3.5595000000000008,17650PE,13.0,43.55,0.05,0.05,True,09:29:00,0.0,-5.9639999999999995,3.780499999999999,-9.100000000000001,-11.283500000000002
B120,NIFTY,09:20:00,15:25:00,SELL,HL,20.0,70.0,0.2,2022-01-06,Thursday,1,09:20:00,17796.85,17750CE,53.6,69.85,0.1,0.1,True,09:22:00,-11.256000000000006,17750PE,43.5,102.3,2.2,4.75,True,09:29:00,-9.135000000000003,17750PE,33.55,102.3,2.2,4.75,True,09:29:00,0.0,-11.256000000000006,9.515000000000002,-23.485,-25.226000000000003
B120,NIFTY,09:20:00,15:25:00,SELL,HL,20.0,70.0,0.3,2022-01-06,Thursday,1,09:20:00,17796.85,17750CE,53.6,69.85,0.1,0.1,True,09:22:00,-11.256000000000006,17800PE,68.6,149.0,22.2,54.8,True,09:29:00,-14.405999999999999,17800PE,54.1,149.0,22.2,54.8,True,09:29:00,0.0,-11.256000000000006,13.813999999999993,-37.87,-35.31200000000001
B120,NIFTY,09:20:00,15:25:00,SELL,HL,20.0,70.0,0.4,2022-01-06,Thursday,1,09:20:00,17796.85,17700CE,87.55,108.55,11.5,45.2,True,09:22:00,-18.385500000000004,17850PE,103.1,198.2,62.8,104.5,True,09:29:00,-21.651000000000003,17850PE,84.35,198.2,62.8,104.5,True,09:30:00,0.0,-18.385500000000004,17.719,-59.04499999999999,-59.71149999999999
