,entry_time,exit_time,ce_price,pe_price,ce_hit_time,pe_hit_time,sl,utsl,ce_pnl,pe_pnl,total_pnl
trade_0,2024-12-31 09:20:00,2024-12-31 15:25:00,75.15,203.5,2024-12-31 09:36:00,2024-12-31 09:50:00,20,30,-15.030000000000001,58.19999999999999,43.16999999999999
trade_1,2024-12-31 09:20:00,2024-12-31 15:25:00,75.15,203.5,2024-12-31 09:36:00,2024-12-31 09:50:00,20,40,-15.030000000000001,-71.30000000000001,-86.33000000000001
trade_2,2024-12-31 09:20:00,2024-12-31 15:25:00,75.15,203.5,2024-12-31 09:36:00,2024-12-31 09:50:00,20,50,-15.030000000000001,-71.30000000000001,-86.33000000000001
trade_3,2024-12-31 09:20:00,2024-12-31 15:25:00,75.15,203.5,2024-12-31 10:53:00,,40,30,-30.060000000000002,-71.30000000000001,-101.36000000000001
trade_4,2024-12-31 09:20:00,2024-12-31 15:25:00,75.15,203.5,2024-12-31 10:53:00,,40,40,-30.060000000000002,-71.30000000000001,-101.36000000000001
trade_5,2024-12-31 09:20:00,2024-12-31 15:25:00,75.15,203.5,2024-12-31 10:53:00,,40,50,-30.060000000000002,-71.30000000000001,-101.36000000000001
trade_6,2024-12-31 09:20:00,2024-12-31 15:25:00,75.15,203.5,2024-12-31 10:53:00,,40,30,-30.060000000000002,-71.30000000000001,-101.36000000000001
trade_7,2024-12-31 09:20:00,2024-12-31 15:25:00,75.15,203.5,2024-12-31 10:53:00,,40,40,-30.060000000000002,-71.30000000000001,-101.36000000000001
trade_8,2024-12-31 09:20:00,2024-12-31 15:25:00,75.15,203.5,2024-12-31 10:53:00,,40,50,-30.060000000000002,-71.30000000000001,-101.36000000000001
trade_9,2024-12-31 09:40:00,2024-12-31 15:25:00,88.35,183.8,2024-12-31 10:53:00,2024-12-31 09:43:00,20,30,21.950000000000003,-36.75999999999999,-14.809999999999988
trade_10,2024-12-31 09:40:00,2024-12-31 15:25:00,88.35,183.8,2024-12-31 10:53:00,2024-12-31 09:43:00,20,40,30.700000000000003,-36.75999999999999,-6.059999999999988
trade_11,2024-12-31 09:40:00,2024-12-31 15:25:00,88.35,183.8,2024-12-31 10:53:00,2024-12-31 09:43:00,20,50,46.849999999999994,-36.75999999999999,10.090000000000003
trade_12,2024-12-31 09:40:00,2024-12-31 15:25:00,88.35,183.8,2024-12-31 12:31:00,2024-12-31 10:06:00,40,30,21.950000000000003,-73.51999999999998,-51.56999999999998
trade_13,2024-12-31 09:40:00,2024-12-31 15:25:00,88.35,183.8,2024-12-31 12:31:00,2024-12-31 10:06:00,40,40,30.700000000000003,-73.51999999999998,-42.81999999999998
trade_14,2024-12-31 09:40:00,2024-12-31 15:25:00,88.35,183.8,2024-12-31 12:31:00,2024-12-31 10:06:00,40,50,46.849999999999994,-73.51999999999998,-26.669999999999987
trade_15,2024-12-31 09:40:00,2024-12-31 15:25:00,88.35,183.8,2024-12-31 12:31:00,2024-12-31 10:06:00,40,30,21.950000000000003,-73.51999999999998,-51.56999999999998
trade_16,2024-12-31 09:40:00,2024-12-31 15:25:00,88.35,183.8,2024-12-31 12:31:00,2024-12-31 10:06:00,40,40,30.700000000000003,-73.51999999999998,-42.81999999999998
trade_17,2024-12-31 09:40:00,2024-12-31 15:25:00,88.35,183.8,2024-12-31 12:31:00,2024-12-31 10:06:00,40,50,46.849999999999994,-73.51999999999998,-26.669999999999987
