,entry_time,exit_time,entry_price,dk_price,sl_price,target_hit_time,sl_hit_time,trade_type,pnl,option
trade_0,2024-12-31 09:20:00,2024-12-31 15:25:00,23698.25,21328.425,25594.109999999997,2024-12-31 09:15:00,,target,21198.625,call
trade_3248,2024-01-01 09:20:00,2024-01-01 15:25:00,21817.15,19635.435,23562.522,2024-01-01 09:15:00,,target,19500.485,put
trade_1,2024-12-31 09:20:00,2024-12-31 15:25:00,23698.25,21328.425,27726.9525,2024-12-31 09:15:00,,target,21198.625,call
trade_3249,2024-01-01 09:20:00,2024-01-01 15:25:00,21817.15,19635.435,25526.065500000004,2024-01-01 09:15:00,,target,19500.485,put
trade_2,2024-12-31 09:20:00,2024-12-31 15:25:00,23698.25,18958.600000000002,22750.320000000003,2024-12-31 09:15:00,,target,18828.800000000003,call
trade_3250,2024-01-01 09:20:00,2024-01-01 15:25:00,21817.15,17453.72,20944.464,2024-01-01 09:15:00,,target,17318.77,put
trade_3,2024-12-31 09:20:00,2024-12-31 15:25:00,23698.25,18958.600000000002,24646.180000000004,2024-12-31 09:15:00,,target,18828.800000000003,call
trade_3251,2024-01-01 09:20:00,2024-01-01 15:25:00,21817.15,17453.72,22689.836000000003,2024-01-01 09:15:00,,target,17318.77,put
trade_4,2024-12-31 09:40:00,2024-12-31 15:25:00,23725.8,21353.22,25623.864,2024-12-31 09:15:00,,target,21223.420000000002,call
trade_3252,2024-01-01 09:40:00,2024-01-01 15:25:00,21820.0,19638.0,23565.6,2024-01-01 09:15:00,,target,19503.05,put
trade_5,2024-12-31 09:40:00,2024-12-31 15:25:00,23725.8,21353.22,27759.186,2024-12-31 09:15:00,,target,21223.420000000002,call
trade_3253,2024-01-01 09:40:00,2024-01-01 15:25:00,21820.0,19638.0,25529.4,2024-01-01 09:15:00,,target,19503.05,put
trade_6,2024-12-31 09:40:00,2024-12-31 15:25:00,23725.8,18980.64,22776.768,2024-12-31 09:15:00,,target,18850.84,call
trade_3254,2024-01-01 09:40:00,2024-01-01 15:25:00,21820.0,17456.0,20947.2,2024-01-01 09:15:00,,target,17321.05,put
trade_7,2024-12-31 09:40:00,2024-12-31 15:25:00,23725.8,18980.64,24674.832,2024-12-31 09:15:00,,target,18850.84,call
trade_3255,2024-01-01 09:40:00,2024-01-01 15:25:00,21820.0,17456.0,22692.8,2024-01-01 09:15:00,,target,17321.05,put
trade_3256,2024-01-02 09:20:00,2024-01-02 15:25:00,21850.05,19665.045,23598.053999999996,2024-01-02 09:15:00,,target,19400.045,put
trade_3257,2024-01-02 09:20:00,2024-01-02 15:25:00,21850.05,19665.045,25564.5585,2024-01-02 09:15:00,,target,19400.045,put
trade_3258,2024-01-02 09:20:00,2024-01-02 15:25:00,21850.05,17480.04,20976.048,2024-01-02 09:15:00,,target,17215.04,put
trade_3259,2024-01-02 09:20:00,2024-01-02 15:25:00,21850.05,17480.04,22724.052000000003,2024-01-02 09:15:00,,target,17215.04,put
trade_3260,2024-01-02 09:40:00,2024-01-02 15:25:00,21858.0,19672.2,23606.64,2024-01-02 09:15:00,,target,19407.2,put
trade_3261,2024-01-02 09:40:00,2024-01-02 15:25:00,21858.0,19672.2,25573.86,2024-01-02 09:15:00,,target,19407.2,put
trade_3262,2024-01-02 09:40:00,2024-01-02 15:25:00,21858.0,17486.4,20983.68,2024-01-02 09:15:00,,target,17221.4,put
trade_3263,2024-01-02 09:40:00,2024-01-02 15:25:00,21858.0,17486.4,22732.320000000003,2024-01-02 09:15:00,,target,17221.4,put
trade_3264,2024-01-03 09:20:00,2024-01-03 15:25:00,21708.15,19537.335000000003,23444.802000000003,2024-01-03 09:15:00,,target,19341.785000000003,put
trade_3265,2024-01-03 09:20:00,2024-01-03 15:25:00,21708.15,19537.335000000003,25398.535500000005,2024-01-03 09:15:00,,target,19341.785000000003,put
trade_3266,2024-01-03 09:20:00,2024-01-03 15:25:00,21708.15,17366.52,20839.824,2024-01-03 09:15:00,,target,17170.97,put
trade_3267,2024-01-03 09:20:00,2024-01-03 15:25:00,21708.15,17366.52,22576.476000000002,2024-01-03 09:15:00,,target,17170.97,put
trade_3268,2024-01-03 09:40:00,2024-01-03 15:25:00,21671.0,19503.9,23404.68,2024-01-03 09:15:00,,target,19308.350000000002,put
trade_3269,2024-01-03 09:40:00,2024-01-03 15:25:00,21671.0,19503.9,25355.070000000003,2024-01-03 09:15:00,,target,19308.350000000002,put
trade_3270,2024-01-03 09:40:00,2024-01-03 15:25:00,21671.0,17336.8,20804.16,2024-01-03 09:15:00,,target,17141.25,put
trade_3271,2024-01-03 09:40:00,2024-01-03 15:25:00,21671.0,17336.8,22537.84,2024-01-03 09:15:00,,target,17141.25,put
trade_3272,2024-01-04 09:20:00,2024-01-04 15:25:00,21682.3,19514.07,23416.884,2024-01-04 09:15:00,,target,19471.37,put
trade_3273,2024-01-04 09:20:00,2024-01-04 15:25:00,21682.3,19514.07,25368.291,2024-01-04 09:15:00,,target,19471.37,put
trade_3274,2024-01-04 09:20:00,2024-01-04 15:25:00,21682.3,17345.84,20815.007999999998,2024-01-04 09:15:00,,target,17303.14,put
trade_3275,2024-01-04 09:20:00,2024-01-04 15:25:00,21682.3,17345.84,22549.592,2024-01-04 09:15:00,,target,17303.14,put
trade_3276,2024-01-04 09:40:00,2024-01-04 15:25:00,21696.4,19526.760000000002,23432.112,2024-01-04 09:15:00,,target,19484.06,put
trade_3277,2024-01-04 09:40:00,2024-01-04 15:25:00,21696.4,19526.760000000002,25384.788000000004,2024-01-04 09:15:00,,target,19484.06,put
trade_3278,2024-01-04 09:40:00,2024-01-04 15:25:00,21696.4,17357.120000000003,20828.544,2024-01-04 09:15:00,,target,17314.420000000002,put
trade_3279,2024-01-04 09:40:00,2024-01-04 15:25:00,21696.4,17357.120000000003,22564.256000000005,2024-01-04 09:15:00,,target,17314.420000000002,put
trade_3280,2024-01-05 09:20:00,2024-01-05 15:25:00,21813.6,19632.239999999998,23558.688,2024-01-05 09:15:00,,target,19486.739999999998,put
trade_3281,2024-01-05 09:20:00,2024-01-05 15:25:00,21813.6,19632.239999999998,25521.911999999997,2024-01-05 09:15:00,,target,19486.739999999998,put
