,trade,entry time,exit time,total_pnl,is next hit,ce scrip,pe scrip
0,0,2024-01-01 09:20:00,2024-01-01 15:25:00,24.73599999999999,True,22000CE,21400PE
1,1,2024-01-02 09:20:00,2024-01-02 15:25:00,-7.70000000000001,True,22000CE,21500PE
2,2,2024-01-03 09:20:00,2024-01-03 15:25:00,22.499999999999993,False,21750CE,21450PE
3,3,2024-01-04 09:20:00,2024-01-04 15:25:00,1.6379999999999981,True,21600CE,21550PE
4,4,2024-01-05 09:20:00,2024-01-05 15:25:00,13.22999999999999,True,22050CE,21400PE
5,5,2024-01-08 09:20:00,2024-01-08 15:25:00,-19.150000000000013,True,21950CE,21450PE
6,6,2024-01-09 09:20:00,2024-01-09 15:25:00,-5.306000000000012,True,21850CE,21500PE
7,7,2024-01-10 09:20:00,2024-01-10 15:25:00,0.0,False,21700CE,21350PE
8,8,2024-01-11 09:20:00,2024-01-11 15:25:00,-9.59600000000001,True,21750CE,21700PE
9,9,2024-01-12 09:20:00,2024-01-12 15:25:00,-22.546000000000028,True,22050CE,21400PE
10,10,2024-01-15 09:20:00,2024-01-15 15:25:00,8.799999999999997,False,22350CE,21650PE
11,11,2024-01-16 09:20:00,2024-01-16 15:25:00,22.95799999999999,True,22250CE,21800PE
12,12,2024-01-17 09:20:00,2024-01-17 15:25:00,-7.912000000000013,True,22050CE,21550PE
13,13,2024-01-18 09:20:00,2024-01-18 15:25:00,0.0,False,21550CE,21350PE
14,14,2024-01-19 09:20:00,2024-01-19 15:25:00,7.399999999999999,False,22150CE,21100PE
15,15,2024-01-20 09:20:00,2024-01-20 15:25:00,-2.51400000000001,True,22050CE,21400PE
16,16,2024-01-23 09:20:00,2024-01-23 15:25:00,-175.0440000000002,True,22000CE,21500PE
17,17,2024-01-24 09:20:00,2024-01-24 15:25:00,-26.580000000000027,True,21450CE,20850PE
18,18,2024-01-25 09:20:00,2024-01-25 15:25:00,-4.872,True,21500CE,21300PE
19,19,2024-01-29 09:20:00,2024-01-29 15:25:00,-9.20000000000001,True,22100CE,20950PE
20,20,2024-01-30 09:20:00,2024-01-30 15:25:00,7.5,True,22300CE,21200PE
21,21,2024-01-31 09:20:00,2024-01-31 15:25:00,-21.15400000000001,True,21900CE,21000PE
22,22,2024-02-01 09:20:00,2024-02-01 15:25:00,56.6,False,22050CE,21400PE
23,23,2024-02-02 09:20:00,2024-02-02 15:25:00,22.581999999999972,True,22450CE,21400PE
