P_Strategy,P_Index,P_StartTime,P_EndTime,P_OrderSide,P_Method,P_SL,P_ReSL,P_OM,Start.Date,End.Date,Start.DTE,End.DTE,DayCount,EntryTime,Future,CE.Strike,CE.Price,CE.SL.Price,CE0.SL.Flag,CE0.SL.Time,CE0.PNL,CE1.Decay.Flag,CE1.Decay.Time,CE1.SL.Flag,CE1.SL.Time,CE1.PNL,CE2.Decay.Flag,CE2.Decay.Time,CE2.SL.Flag,CE2.SL.Time,CE2.PNL,CE3.Decay.Flag,CE3.Decay.Time,CE3.SL.Flag,CE3.SL.Time,CE3.PNL,CE4.Decay.Flag,CE4.Decay.Time,CE4.SL.Flag,CE4.SL.Time,CE4.PNL,CE5.Decay.Flag,CE5.Decay.Time,CE5.SL.Flag,CE5.SL.Time,CE5.PNL,CE6.Decay.Flag,CE6.Decay.Time,CE6.SL.Flag,CE6.SL.Time,CE6.PNL,CE7.Decay.Flag,CE7.Decay.Time,CE7.SL.Flag,CE7.SL.Time,CE7.PNL,PE.Strike,PE.Price,PE.SL.Price,PE0.SL.Flag,PE0.SL.Time,PE0.PNL,PE1.Decay.Flag,PE1.Decay.Time,PE1.SL.Flag,PE1.SL.Time,PE1.PNL,PE2.Decay.Flag,PE2.Decay.Time,PE2.SL.Flag,PE2.SL.Time,PE2.PNL,PE3.Decay.Flag,PE3.Decay.Time,PE3.SL.Flag,PE3.SL.Time,PE3.PNL,PE4.Decay.Flag,PE4.Decay.Time,PE4.SL.Flag,PE4.SL.Time,PE4.PNL,PE5.Decay.Flag,PE5.Decay.Time,PE5.SL.Flag,PE5.SL.Time,PE5.PNL,PE6.Decay.Flag,PE6.Decay.Time,PE6.SL.Flag,PE6.SL.Time,PE6.PNL,PE7.Decay.Flag,PE7.Decay.Time,PE7.SL.Flag,PE7.SL.Time,PE7.PNL
NREW,NIFTY,09:20:00,15:25:00,SELL,HL,40,40,0.0,2024-01-03,2024-01-04,2,1,2,2024-01-03 09:20:00,21708.15,21600CE,88.85,124.38999999999999,False,,30.611499999999992,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21600PE,72.6,101.63999999999999,True,2024-01-03 10:20:00,-29.76599999999999,True,2024-01-03 10:36:00,True,2024-01-03 12:24:00,-29.76599999999999,True,2024-01-03 13:01:00,True,2024-01-03 14:35:00,-29.76599999999999,True,2024-01-04 09:15:00,False,,71.824,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:20:00,15:25:00,SELL,HL,40,40,0.4,2024-01-03,2024-01-04,2,1,2,2024-01-03 09:20:00,21708.15,21600CE,88.85,124.38999999999999,False,,30.611499999999992,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21650PE,97.4,136.35999999999999,True,2024-01-03 10:20:00,-39.933999999999976,True,2024-01-03 10:38:00,True,2024-01-03 12:24:00,-39.933999999999976,True,2024-01-03 13:18:00,True,2024-01-03 14:35:00,-39.933999999999976,True,2024-01-04 09:15:00,False,,96.376,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:20:00,15:25:00,SELL,HL,60,60,0.0,2024-01-03,2024-01-04,2,1,2,2024-01-03 09:20:00,21708.15,21600CE,88.85,142.16,False,,30.611499999999992,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21600PE,72.6,116.16,True,2024-01-03 12:27:00,-44.286,True,2024-01-03 13:01:00,True,2024-01-03 15:07:00,-44.286,True,2024-01-04 09:15:00,False,,71.824,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:20:00,15:25:00,SELL,HL,60,60,0.4,2024-01-03,2024-01-04,2,1,2,2024-01-03 09:20:00,21708.15,21600CE,88.85,142.16,False,,30.611499999999992,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21650PE,97.4,155.84000000000003,True,2024-01-03 15:05:00,-59.41400000000002,True,2024-01-04 09:15:00,False,,96.376,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:20:00,15:25:00,SELL,CC,40,40,0.0,2024-01-03,2024-01-04,2,1,2,2024-01-03 09:20:00,21708.15,21600CE,88.85,124.38999999999999,False,,30.611499999999992,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21600PE,72.6,101.63999999999999,True,2024-01-03 10:20:00,-30.576000000000008,True,2024-01-03 10:36:00,True,2024-01-03 12:24:00,-32.876000000000005,True,2024-01-03 13:04:00,True,2024-01-03 14:36:00,-37.626000000000005,True,2024-01-04 09:15:00,False,,71.824,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:20:00,15:25:00,SELL,CC,40,40,0.4,2024-01-03,2024-01-04,2,1,2,2024-01-03 09:20:00,21708.15,21600CE,88.85,124.38999999999999,False,,30.611499999999992,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21650PE,97.4,136.35999999999999,True,2024-01-03 12:24:00,-42.77399999999998,True,2024-01-03 13:40:00,True,2024-01-03 14:36:00,-52.173999999999985,True,2024-01-04 09:15:00,False,,96.376,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:20:00,15:25:00,SELL,CC,60,60,0.0,2024-01-03,2024-01-04,2,1,2,2024-01-03 09:20:00,21708.15,21600CE,88.85,142.16,False,,30.611499999999992,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21600PE,72.6,116.16,True,2024-01-03 15:07:00,-51.57600000000001,True,2024-01-04 09:15:00,False,,71.824,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:20:00,15:25:00,SELL,CC,60,60,0.4,2024-01-03,2024-01-04,2,1,2,2024-01-03 09:20:00,21708.15,21600CE,88.85,142.16,False,,30.611499999999992,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21650PE,97.4,155.84000000000003,True,2024-01-03 15:07:00,-67.62400000000001,True,2024-01-04 09:15:00,False,,96.376,False,,False,,0.0,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,40,40,0.0,2024-01-03,2024-01-04,2,1,2,2024-01-03 09:25:00,21698.85,21600CE,83.15,116.41,False,,24.968500000000006,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21600PE,75.6,105.83999999999999,True,2024-01-03 10:22:00,-30.995999999999995,True,2024-01-03 10:34:00,True,2024-01-03 12:24:00,-30.995999999999995,True,2024-01-03 13:00:00,True,2024-01-03 14:36:00,-30.995999999999995,True,2024-01-04 09:15:00,False,,74.794,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
NREW,NIFTY,09:25:00,15:25:00,SELL,HL,40,40,0.4,2024-01-03,2024-01-04,2,1,2,2024-01-03 09:25:00,21698.85,21550CE,112.85,157.98999999999998,False,,4.3715,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0,21650PE,101.65,142.31,True,2024-01-03 12:24:00,-41.6765,True,2024-01-03 13:01:00,True,2024-01-03 14:36:00,-41.6765,True,2024-01-04 09:15:00,False,,100.58350000000002,False,,False,,0.0,False,,False,,0,False,,False,,0,False,,False,,0,False,,False,,0
