,entry_time,exit_time,ce_price,pe_price,ce_hit_time,pe_hit_time,sl,utsl,ce_pnl,pe_pnl,total_pnl
trade_0,2024-01-01 09:20:00,2024-01-01 15:25:00,83.1,164.0,2024-01-01 09:53:00,,20,30,-16.620000000000005,-29.05000000000001,-45.670000000000016
trade_1,2024-01-01 09:20:00,2024-01-01 15:25:00,83.1,164.0,2024-01-01 09:53:00,,20,40,-16.620000000000005,-29.05000000000001,-45.670000000000016
trade_2,2024-01-01 09:20:00,2024-01-01 15:25:00,83.1,164.0,2024-01-01 09:53:00,,20,50,-16.620000000000005,-29.05000000000001,-45.670000000000016
trade_3,2024-01-01 09:20:00,2024-01-01 15:25:00,83.1,164.0,2024-01-01 14:01:00,,40,30,-33.24000000000001,-29.05000000000001,-62.29000000000002
trade_4,2024-01-01 09:20:00,2024-01-01 15:25:00,83.1,164.0,2024-01-01 14:01:00,,40,40,-33.24000000000001,-29.05000000000001,-62.29000000000002
trade_5,2024-01-01 09:20:00,2024-01-01 15:25:00,83.1,164.0,2024-01-01 14:01:00,,40,50,-33.24000000000001,-29.05000000000001,-62.29000000000002
trade_6,2024-01-01 09:20:00,2024-01-01 15:25:00,83.1,164.0,2024-01-01 14:01:00,,40,30,-33.24000000000001,-29.05000000000001,-62.29000000000002
trade_7,2024-01-01 09:20:00,2024-01-01 15:25:00,83.1,164.0,2024-01-01 14:01:00,,40,40,-33.24000000000001,-29.05000000000001,-62.29000000000002
trade_8,2024-01-01 09:20:00,2024-01-01 15:25:00,83.1,164.0,2024-01-01 14:01:00,,40,50,-33.24000000000001,-29.05000000000001,-62.29000000000002
trade_9,2024-01-01 09:40:00,2024-01-01 15:25:00,79.6,163.4,2024-01-01 09:51:00,,20,30,-15.920000000000002,-28.450000000000017,-44.37000000000002
trade_10,2024-01-01 09:40:00,2024-01-01 15:25:00,79.6,163.4,2024-01-01 09:51:00,,20,40,-15.920000000000002,-28.450000000000017,-44.37000000000002
trade_11,2024-01-01 09:40:00,2024-01-01 15:25:00,79.6,163.4,2024-01-01 09:51:00,,20,50,-15.920000000000002,-28.450000000000017,-44.37000000000002
trade_12,2024-01-01 09:40:00,2024-01-01 15:25:00,79.6,163.4,2024-01-01 13:58:00,,40,30,-31.840000000000003,-28.450000000000017,-60.29000000000002
trade_13,2024-01-01 09:40:00,2024-01-01 15:25:00,79.6,163.4,2024-01-01 13:58:00,,40,40,-31.840000000000003,-28.450000000000017,-60.29000000000002
trade_14,2024-01-01 09:40:00,2024-01-01 15:25:00,79.6,163.4,2024-01-01 13:58:00,,40,50,-31.840000000000003,-28.450000000000017,-60.29000000000002
trade_15,2024-01-01 09:40:00,2024-01-01 15:25:00,79.6,163.4,2024-01-01 13:58:00,,40,30,-31.840000000000003,-28.450000000000017,-60.29000000000002
trade_16,2024-01-01 09:40:00,2024-01-01 15:25:00,79.6,163.4,2024-01-01 13:58:00,,40,40,-31.840000000000003,-28.450000000000017,-60.29000000000002
trade_17,2024-01-01 09:40:00,2024-01-01 15:25:00,79.6,163.4,2024-01-01 13:58:00,,40,50,-31.840000000000003,-28.450000000000017,-60.29000000000002
trade_18,2024-01-02 09:20:00,2024-01-02 15:25:00,40.7,190.9,,2024-01-02 09:57:00,20,30,-26.900000000000002,-38.18000000000001,-65.08000000000001
trade_19,2024-01-02 09:20:00,2024-01-02 15:25:00,40.7,190.9,,2024-01-02 09:57:00,20,40,-26.900000000000002,-38.18000000000001,-65.08000000000001
trade_20,2024-01-02 09:20:00,2024-01-02 15:25:00,40.7,190.9,,2024-01-02 09:57:00,20,50,-26.900000000000002,-38.18000000000001,-65.08000000000001
trade_21,2024-01-02 09:20:00,2024-01-02 15:25:00,40.7,190.9,,2024-01-02 10:24:00,40,30,-26.900000000000002,-76.35999999999999,-103.25999999999999
trade_22,2024-01-02 09:20:00,2024-01-02 15:25:00,40.7,190.9,,2024-01-02 10:24:00,40,40,-26.900000000000002,-76.35999999999999,-103.25999999999999
trade_23,2024-01-02 09:20:00,2024-01-02 15:25:00,40.7,190.9,,2024-01-02 10:24:00,40,50,-26.900000000000002,-76.35999999999999,-103.25999999999999
trade_24,2024-01-02 09:20:00,2024-01-02 15:25:00,40.7,190.9,,2024-01-02 10:24:00,40,30,-26.900000000000002,-76.35999999999999,-103.25999999999999
trade_25,2024-01-02 09:20:00,2024-01-02 15:25:00,40.7,190.9,,2024-01-02 10:24:00,40,40,-26.900000000000002,-76.35999999999999,-103.25999999999999
trade_26,2024-01-02 09:20:00,2024-01-02 15:25:00,40.7,190.9,,2024-01-02 10:24:00,40,50,-26.900000000000002,-76.35999999999999,-103.25999999999999
