,entry_time,exit_time,entry_price,dk_price,sl_price,target_hit_time,sl_hit_time,trade_type,pnl,option
trade_0,2024-01-01 09:20:00,2024-01-01 15:25:00,21817.15,19635.435,23562.522,2024-01-01 09:15:00,,target,19567.635000000002,call
trade_1,2024-01-01 09:20:00,2024-01-01 15:25:00,21817.15,19635.435,23562.522,2024-01-01 09:15:00,,target,19500.485,put
trade_2,2024-01-01 09:20:00,2024-01-01 15:25:00,21817.15,19635.435,25526.065500000004,2024-01-01 09:15:00,,target,19567.635000000002,call
trade_3,2024-01-01 09:20:00,2024-01-01 15:25:00,21817.15,19635.435,25526.065500000004,2024-01-01 09:15:00,,target,19500.485,put
trade_4,2024-01-01 09:20:00,2024-01-01 15:25:00,21817.15,17453.72,20944.464,2024-01-01 09:15:00,,target,17385.920000000002,call
trade_5,2024-01-01 09:20:00,2024-01-01 15:25:00,21817.15,17453.72,20944.464,2024-01-01 09:15:00,,target,17318.77,put
trade_6,2024-01-01 09:20:00,2024-01-01 15:25:00,21817.15,17453.72,22689.836000000003,2024-01-01 09:15:00,,target,17385.920000000002,call
trade_7,2024-01-01 09:20:00,2024-01-01 15:25:00,21817.15,17453.72,22689.836000000003,2024-01-01 09:15:00,,target,17318.77,put
trade_8,2024-01-01 09:40:00,2024-01-01 15:25:00,21820.0,19638.0,23565.6,2024-01-01 09:15:00,,target,19570.2,call
trade_9,2024-01-01 09:40:00,2024-01-01 15:25:00,21820.0,19638.0,23565.6,2024-01-01 09:15:00,,target,19503.05,put
trade_10,2024-01-01 09:40:00,2024-01-01 15:25:00,21820.0,19638.0,25529.4,2024-01-01 09:15:00,,target,19570.2,call
trade_11,2024-01-01 09:40:00,2024-01-01 15:25:00,21820.0,19638.0,25529.4,2024-01-01 09:15:00,,target,19503.05,put
trade_12,2024-01-01 09:40:00,2024-01-01 15:25:00,21820.0,17456.0,20947.2,2024-01-01 09:15:00,,target,17388.2,call
trade_13,2024-01-01 09:40:00,2024-01-01 15:25:00,21820.0,17456.0,20947.2,2024-01-01 09:15:00,,target,17321.05,put
trade_14,2024-01-01 09:40:00,2024-01-01 15:25:00,21820.0,17456.0,22692.8,2024-01-01 09:15:00,,target,17388.2,call
trade_15,2024-01-01 09:40:00,2024-01-01 15:25:00,21820.0,17456.0,22692.8,2024-01-01 09:15:00,,target,17321.05,put
trade_16,2024-01-02 09:20:00,2024-01-02 15:25:00,21850.05,19665.045,23598.053999999996,2024-01-02 09:15:00,,target,19651.245,call
trade_17,2024-01-02 09:20:00,2024-01-02 15:25:00,21850.05,19665.045,23598.053999999996,2024-01-02 09:15:00,,target,19400.045,put
trade_18,2024-01-02 09:20:00,2024-01-02 15:25:00,21850.05,19665.045,25564.5585,2024-01-02 09:15:00,,target,19651.245,call
trade_19,2024-01-02 09:20:00,2024-01-02 15:25:00,21850.05,19665.045,25564.5585,2024-01-02 09:15:00,,target,19400.045,put
trade_20,2024-01-02 09:20:00,2024-01-02 15:25:00,21850.05,17480.04,20976.048,2024-01-02 09:15:00,,target,17466.24,call
trade_21,2024-01-02 09:20:00,2024-01-02 15:25:00,21850.05,17480.04,20976.048,2024-01-02 09:15:00,,target,17215.04,put
trade_22,2024-01-02 09:20:00,2024-01-02 15:25:00,21850.05,17480.04,22724.052000000003,2024-01-02 09:15:00,,target,17466.24,call
trade_23,2024-01-02 09:20:00,2024-01-02 15:25:00,21850.05,17480.04,22724.052000000003,2024-01-02 09:15:00,,target,17215.04,put
trade_24,2024-01-02 09:40:00,2024-01-02 15:25:00,21858.0,19672.2,23606.64,2024-01-02 09:15:00,,target,19658.4,call
trade_25,2024-01-02 09:40:00,2024-01-02 15:25:00,21858.0,19672.2,23606.64,2024-01-02 09:15:00,,target,19407.2,put
trade_26,2024-01-02 09:40:00,2024-01-02 15:25:00,21858.0,19672.2,25573.86,2024-01-02 09:15:00,,target,19658.4,call
trade_27,2024-01-02 09:40:00,2024-01-02 15:25:00,21858.0,19672.2,25573.86,2024-01-02 09:15:00,,target,19407.2,put
trade_28,2024-01-02 09:40:00,2024-01-02 15:25:00,21858.0,17486.4,20983.68,2024-01-02 09:15:00,,target,17472.600000000002,call
trade_29,2024-01-02 09:40:00,2024-01-02 15:25:00,21858.0,17486.4,20983.68,2024-01-02 09:15:00,,target,17221.4,put
trade_30,2024-01-02 09:40:00,2024-01-02 15:25:00,21858.0,17486.4,22732.320000000003,2024-01-02 09:15:00,,target,17472.600000000002,call
trade_31,2024-01-02 09:40:00,2024-01-02 15:25:00,21858.0,17486.4,22732.320000000003,2024-01-02 09:15:00,,target,17221.4,put
trade_32,2024-01-03 09:20:00,2024-01-03 15:25:00,21708.15,19537.335000000003,23444.802000000003,2024-01-03 09:15:00,,target,19530.635000000002,call
trade_33,2024-01-03 09:20:00,2024-01-03 15:25:00,21708.15,19537.335000000003,23444.802000000003,2024-01-03 09:15:00,,target,19341.785000000003,put
trade_34,2024-01-03 09:20:00,2024-01-03 15:25:00,21708.15,19537.335000000003,25398.535500000005,2024-01-03 09:15:00,,target,19530.635000000002,call
trade_35,2024-01-03 09:20:00,2024-01-03 15:25:00,21708.15,19537.335000000003,25398.535500000005,2024-01-03 09:15:00,,target,19341.785000000003,put
trade_36,2024-01-03 09:20:00,2024-01-03 15:25:00,21708.15,17366.52,20839.824,2024-01-03 09:15:00,,target,17359.82,call
trade_37,2024-01-03 09:20:00,2024-01-03 15:25:00,21708.15,17366.52,20839.824,2024-01-03 09:15:00,,target,17170.97,put
trade_38,2024-01-03 09:20:00,2024-01-03 15:25:00,21708.15,17366.52,22576.476000000002,2024-01-03 09:15:00,,target,17359.82,call
trade_39,2024-01-03 09:20:00,2024-01-03 15:25:00,21708.15,17366.52,22576.476000000002,2024-01-03 09:15:00,,target,17170.97,put
trade_40,2024-01-03 09:40:00,2024-01-03 15:25:00,21671.0,19503.9,23404.68,2024-01-03 09:15:00,,target,19497.2,call
trade_41,2024-01-03 09:40:00,2024-01-03 15:25:00,21671.0,19503.9,23404.68,2024-01-03 09:15:00,,target,19308.350000000002,put
trade_42,2024-01-03 09:40:00,2024-01-03 15:25:00,21671.0,19503.9,25355.070000000003,2024-01-03 09:15:00,,target,19497.2,call
trade_43,2024-01-03 09:40:00,2024-01-03 15:25:00,21671.0,19503.9,25355.070000000003,2024-01-03 09:15:00,,target,19308.350000000002,put
trade_44,2024-01-03 09:40:00,2024-01-03 15:25:00,21671.0,17336.8,20804.16,2024-01-03 09:15:00,,target,17330.1,call
trade_45,2024-01-03 09:40:00,2024-01-03 15:25:00,21671.0,17336.8,20804.16,2024-01-03 09:15:00,,target,17141.25,put
